,Lifespan,Stimulated_Activity,,,,,,,,,,,,,,,,Baseline_Activity,,,,,,,,,,,,,,,
Time_days,-1,1.5,3.5,5,6.5,8.5,10,12,14,15,16,18,21,24,26,29.5,33,1.5,3.5,5,6.5,8.5,10,12,14,15,16,18,21,24,26,29.5,33
N2,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2,16,69,50,113,45,32,103,196,70,44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40,6,19,142,16,106,104,1,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN
N2,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2,18,94,90,211,139,162,97,92,134,64,57,NaN,NaN,NaN,NaN,NaN,NaN,14,63,103,120,191,180,145,65,42,19,NaN,NaN,NaN,NaN,NaN,NaN
N2,21,104,120,234,188,22,170,20,114,0,1,6,NaN,NaN,NaN,NaN,NaN,19,36,288,93,216,211,0,185,6,0,4,NaN,NaN,NaN,NaN,NaN
N2,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2,16,279,189,304,157,103,44,52,57,208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,183,70,218,251,159,140,83,43,123,NaN,NaN,NaN,NaN,NaN,NaN,NaN
N2,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2,21,245,113,194,150,117,105,165,26,108,0,15,NaN,NaN,NaN,NaN,NaN,147,166,228,242,169,88,193,12,90,0,0,NaN,NaN,NaN,NaN,NaN
N2,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2,18,132,150,205,183,113,111,142,8,4,49,NaN,NaN,NaN,NaN,NaN,NaN,113,156,251,267,117,134,95,180,19,10,NaN,NaN,NaN,NaN,NaN,NaN
N2,18,30,0,101,0,14,0,18,0,0,9,NaN,NaN,NaN,NaN,NaN,NaN,45,0,88,0,40,80,0,36,0,0,NaN,NaN,NaN,NaN,NaN,NaN
N2,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG4725,18,0,167,179,250,59,36,97,64,22,74,NaN,NaN,NaN,NaN,NaN,NaN,0,76,215,105,117,23,23,25,2302,63,NaN,NaN,NaN,NaN,NaN,NaN
EG4725,18,203,102,201,206,42,83,78,4,23,28,NaN,NaN,NaN,NaN,NaN,NaN,0,165,94,15,41,101,35,44,641,38,NaN,NaN,NaN,NaN,NaN,NaN
EG4725,14,69,92,156,41,95,20,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61,61,120,36,103,13,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EG4725,15,138,238,278,26,270,74,127,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,159,154,869,46,254,66,488,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EG4725,21,145,110,316,89,11,129,147,151,130,22,0,NaN,NaN,NaN,NaN,NaN,88,200,835,66,157,22,2894,266,14,0,24,NaN,NaN,NaN,NaN,NaN
EG4725,18,101,41,153,130,107,291,74,242,101,0,NaN,NaN,NaN,NaN,NaN,NaN,8,222,19,177,87,162,2356,158,152,67,NaN,NaN,NaN,NaN,NaN,NaN
EG4725,26,155,289,222,99,292,181,0,214,153,50,27,0,5,NaN,NaN,NaN,85,149,197,225,226,107,0,172,146,43,0,0,0,NaN,NaN,NaN
EG4725,21,164,218,219,194,154,16,29,222,6,0,52,NaN,NaN,NaN,NaN,NaN,230,54,12,588,342,81,8,251,26,1,0,NaN,NaN,NaN,NaN,NaN
EG4725,18,162,224,248,215,147,124,34,43,0,175,NaN,NaN,NaN,NaN,NaN,NaN,163,223,229,2056,245,186,205,81,0,192,NaN,NaN,NaN,NaN,NaN,NaN
EG4725,18,183,102,171,274,129,146,27,115,19,166,NaN,NaN,NaN,NaN,NaN,NaN,0,68,75,2400,285,163,208,198,12,200,NaN,NaN,NaN,NaN,NaN,NaN
EG4725,21,154,198,134,105,101,214,0,0,0,0,11,NaN,NaN,NaN,NaN,NaN,91,41,209,263,56,74,8,3,7,0,0,NaN,NaN,NaN,NaN,NaN
EG4725,15,53,309,85,165,38,169,12,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13,155,150,40,190,220,0,140,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EG4725,16,132,42,138,86,127,221,6,31,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,121,59,100,120,167,71,1,223,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EG4725,18,15,119,93,252,26,39,0,0,0,87,NaN,NaN,NaN,NaN,NaN,NaN,26,39,0,130,27,2,2,11,0,248,NaN,NaN,NaN,NaN,NaN,NaN
EG4725,24,141,308,127,346,243,270,19,117,14,214,0,206,NaN,NaN,NaN,NaN,137,263,239,183,177,454,7,171,88,181,0,113,NaN,NaN,NaN,NaN
EG4725,16,0,164,167,160,34,74,66,30,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,87,114,239,120,94,6,9,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EG4725,16,71,8,0,55,36,205,102,10,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,126,73,15,280,224,238,121,137,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EG4725,18,0,225,242,172,147,239,0,84,103,0,NaN,NaN,NaN,NaN,NaN,NaN,195,256,173,141,286,241,7,103,47,85,NaN,NaN,NaN,NaN,NaN,NaN
EG4725,24,114,186,21,13,73,54,195,86,78,12,0,42,NaN,NaN,NaN,NaN,257,122,13,0,15,0,17,90,25,0,0,0,NaN,NaN,NaN,NaN
EG4725,18,51,81,129,91,137,77,127,22,13,9,NaN,NaN,NaN,NaN,NaN,NaN,159,100,229,81,161,84,59,27,26,0,NaN,NaN,NaN,NaN,NaN,NaN
LKC34,16,36,93,52,124,35,3,0,0,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,32,115,56,133,65,1,0,53,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LKC34,15,4,28,16,131,12,239,28,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,69,96,287,34,182,5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LKC34,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LKC34,12,302,241,179,371,359,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,171,397,376,321,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LKC34,24,43,167,319,89,207,178,139,4,179,0,0,34,NaN,NaN,NaN,NaN,108,517,181,164,299,328,67,95,17,0,0,0,NaN,NaN,NaN,NaN
LKC34,18,0,102,70,16,91,0,0,28,2,0,NaN,NaN,NaN,NaN,NaN,NaN,0,123,66,131,135,6,0,12,0,128,NaN,NaN,NaN,NaN,NaN,NaN
LKC34,21,158,195,27,130,63,120,16,5,11,0,43,NaN,NaN,NaN,NaN,NaN,145,222,106,91,80,81,206,114,113,103,29,NaN,NaN,NaN,NaN,NaN
LKC34,18,70,94,116,207,208,104,88,3,0,151,NaN,NaN,NaN,NaN,NaN,NaN,5,90,121,287,178,54,144,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
LKC34,18,177,295,288,297,110,212,72,29,64,151,NaN,NaN,NaN,NaN,NaN,NaN,210,247,329,426,201,264,285,27,20,23,NaN,NaN,NaN,NaN,NaN,NaN
LKC34,24,182,121,144,191,127,126,108,21,1,0,0,5,NaN,NaN,NaN,NaN,23,261,187,193,219,225,220,28,1,0,0,0,NaN,NaN,NaN,NaN
LKC34,15,124,88,105,99,211,249,27,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27,199,209,162,175,207,14,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LKC34,16,91,219,218,209,283,20,98,21,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,203,218,143,231,47,2,73,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LKC34,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LKC34,15,120,81,238,251,41,165,211,53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,161,197,201,185,59,186,153,32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LKC34,24,154,110,235,360,186,147,109,5,0,0,0,22,NaN,NaN,NaN,NaN,115,281,144,212,224,197,220,0,0,0,0,0,NaN,NaN,NaN,NaN
LKC34,16,130,239,253,313,234,133,149,57,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,230,279,223,279,238,170,128,28,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LKC34,18,105,222,80,256,143,116,145,97,83,12,NaN,NaN,NaN,NaN,NaN,NaN,142,185,278,295,121,153,108,46,14,6,NaN,NaN,NaN,NaN,NaN,NaN
LKC34,21,216,162,204,284,226,18,120,166,0,0,60,NaN,NaN,NaN,NaN,NaN,213,190,184,293,187,186,120,34,0,11,74,NaN,NaN,NaN,NaN,NaN
LKC34,16,113,182,294,191,192,183,144,0,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,266,254,202,181,46,125,108,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LKC34,16,0,25,164,5,15,85,39,30,46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,34,105,0,55,95,19,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CX11314,18,73,155,32,224,126,150,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,17,57,0,0,137,0,0,0,773,5,NaN,NaN,NaN,NaN,NaN,NaN
CX11314,18,9,11,0,66,11,215,9,10,19,66,NaN,NaN,NaN,NaN,NaN,NaN,0,67,0,56,43,26,0,0,533,12,NaN,NaN,NaN,NaN,NaN,NaN
CX11314,18,0,103,19,0,0,97,0,142,37,59,NaN,NaN,NaN,NaN,NaN,NaN,0,10,80,0,0,45,0,222,82,9,NaN,NaN,NaN,NaN,NaN,NaN
CX11314,18,0,93,3,0,12,88,2,0,0,23,NaN,NaN,NaN,NaN,NaN,NaN,0,99,955,0,32,32,296,0,0,13,NaN,NaN,NaN,NaN,NaN,NaN
CX11314,16,36,215,212,7,1,25,0,13,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,143,793,157,57,26,2643,22,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CX11314,21,70,38,72,23,72,70,39,138,35,0,48,NaN,NaN,NaN,NaN,NaN,5,4,85,131,116,23,1541,232,47,0,1,NaN,NaN,NaN,NaN,NaN
CX11314,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX11314,16,7,196,135,71,21,0,0,61,35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,72,132,143,21,62,0,9,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CX11314,16,8,284,253,71,49,46,20,27,51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,69,146,1692,50,132,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CX11314,16,150,81,62,182,74,52,81,6,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,133,38,16,2247,66,44,72,0,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CX11314,18,202,223,163,211,154,144,135,71,0,7,NaN,NaN,NaN,NaN,NaN,NaN,203,43,123,1072,126,132,81,118,0,9,NaN,NaN,NaN,NaN,NaN,NaN
CX11314,18,205,172,51,123,80,260,103,33,43,9,NaN,NaN,NaN,NaN,NaN,NaN,12,46,118,59,86,194,171,24,82,9,NaN,NaN,NaN,NaN,NaN,NaN
CX11314,21,11,41,108,66,85,47,71,92,187,8,10,NaN,NaN,NaN,NaN,NaN,2,3,32,53,19,33,100,200,194,0,0,NaN,NaN,NaN,NaN,NaN
CX11314,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX11314,18,58,118,144,75,57,35,0,5,5,39,NaN,NaN,NaN,NaN,NaN,NaN,71,112,226,19,139,46,3,9,30,63,NaN,NaN,NaN,NaN,NaN,NaN
CX11314,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX11314,18,1,130,132,134,20,4,0,17,29,57,NaN,NaN,NaN,NaN,NaN,NaN,3,82,135,26,25,170,10,0,19,0,NaN,NaN,NaN,NaN,NaN,NaN
CX11314,18,4,206,65,42,0,291,0,20,9,231,NaN,NaN,NaN,NaN,NaN,NaN,18,123,219,59,0,62,0,77,83,0,NaN,NaN,NaN,NaN,NaN,NaN
CX11314,24,156,135,106,72,166,30,0,149,85,32,0,15,NaN,NaN,NaN,NaN,14,204,75,44,103,124,0,137,15,46,0,46,NaN,NaN,NaN,NaN
CX11314,15,80,132,169,168,46,119,26,137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,30,81,93,74,141,4,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JT11398,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JT11398,18,70,124,211,208,86,172,127,136,81,9,NaN,NaN,NaN,NaN,NaN,NaN,16,195,71,39,66,331,16,27,63,6,NaN,NaN,NaN,NaN,NaN,NaN
JT11398,14,122,144,137,129,36,158,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,148,33,46,71,155,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JT11398,16,94,29,66,173,0,123,63,49,129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,223,195,128,100,71,70,10,105,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JT11398,16,148,413,219,109,179,124,13,13,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,335,234,235,184,34,1137,10,233,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JT11398,16,98,58,52,67,152,72,125,90,142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67,5,91,96,36,78,730,64,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JT11398,33,297,286,176,162,228,67,103,32,7,0,8,34,0,9,19,NaN,5,181,214,79,26,87,33,75,43,0,29,0,22,0,0,NaN
JT11398,16,153,182,246,186,256,61,103,143,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,193,169,211,215,238,89,220,93,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JT11398,15,190,258,245,219,130,253,147,130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,113,270,233,106,212,272,343,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JT11398,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JT11398,15,61,328,76,49,233,241,172,179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,106,189,291,191,357,37,132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JT11398,14,91,173,122,130,170,11,36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,180,102,8,82,25,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JT11398,14,0,0,102,193,0,65,44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7,30,47,0,0,48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JT11398,18,112,148,152,267,166,70,177,0,3,136,NaN,NaN,NaN,NaN,NaN,NaN,167,192,155,168,81,280,245,0,0,81,NaN,NaN,NaN,NaN,NaN,NaN
JT11398,24,81,147,359,183,154,191,66,0,6,155,0,22,NaN,NaN,NaN,NaN,13,103,256,155,149,138,66,0,8,52,0,0,NaN,NaN,NaN,NaN
JT11398,18,309,251,173,122,90,169,54,87,153,0,NaN,NaN,NaN,NaN,NaN,NaN,59,260,180,197,100,168,120,0,117,8,NaN,NaN,NaN,NaN,NaN,NaN
JT11398,18,129,187,160,30,31,149,316,101,52,40,NaN,NaN,NaN,NaN,NaN,NaN,101,190,201,223,0,308,48,0,0,156,NaN,NaN,NaN,NaN,NaN,NaN
JT11398,18,158,224,259,261,158,195,69,9,9,166,NaN,NaN,NaN,NaN,NaN,NaN,32,323,242,40,189,185,55,77,102,133,NaN,NaN,NaN,NaN,NaN,NaN
JT11398,33,66,262,233,181,254,48,10,47,55,0,0,63,4,0,10,NaN,0,246,308,98,13,210,9,83,9,287,0,0,0,0,11,NaN
JT11398,16,291,167,132,70,0,96,0,39,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56,143,59,116,1,120,30,42,29,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JU775,16,139,97,51,146,375,301,174,0,27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,150,89,97,102,204,27,229,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JU775,33,188,108,182,240,223,267,245,191,197,127,32,187,16,1,14,NaN,160,105,28,150,193,187,175,251,128,133,39,38,0,9,0,NaN
JU775,21,100,172,49,75,183,20,418,311,41,160,38,NaN,NaN,NaN,NaN,NaN,135,141,120,64,178,15,253,282,52,131,3,NaN,NaN,NaN,NaN,NaN
JU775,18,74,54,22,60,283,255,137,173,7,98,NaN,NaN,NaN,NaN,NaN,NaN,0,0,29,222,201,208,1073,177,0,83,NaN,NaN,NaN,NaN,NaN,NaN
JU775,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JU775,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JU775,16,204,74,224,304,242,269,326,401,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,187,118,314,223,300,326,289,371,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JU775,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JU775,21,168,154,194,406,296,346,3,147,8,33,0,NaN,NaN,NaN,NaN,NaN,181,103,360,206,158,210,0,46,0,2,13,NaN,NaN,NaN,NaN,NaN
JU775,15,143,189,162,316,476,135,63,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,194,323,337,318,131,60,29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JU775,24,174,250,160,480,514,330,304,130,148,130,188,12,NaN,NaN,NaN,NaN,198,279,181,330,430,359,312,153,267,228,70,0,NaN,NaN,NaN,NaN
JU775,29.5,167,220,267,326,289,351,284,215,369,231,292,26,202,70,NaN,NaN,2,209,235,287,316,349,290,156,360,228,248,110,189,90,NaN,NaN
JU775,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JU775,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JU775,18,228,179,88,317,115,102,0,90,69,39,NaN,NaN,NaN,NaN,NaN,NaN,230,150,180,249,306,148,0,57,33,56,NaN,NaN,NaN,NaN,NaN,NaN
JU775,18,2,0,132,111,3,92,75,26,89,140,NaN,NaN,NaN,NaN,NaN,NaN,2,32,110,144,116,87,147,2,230,269,NaN,NaN,NaN,NaN,NaN,NaN
JU775,21,173,209,188,84,63,209,3,79,174,141,117,NaN,NaN,NaN,NaN,NaN,147,208,116,110,106,22,256,104,312,277,246,NaN,NaN,NaN,NaN,NaN
JU775,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
