"","strain","bio_rep","rep","life_span","status"
"732","CB4856","4",12,10.5,1
"733","CB4856","4",13,11,1
"734","CB4856","4",14,9.5,1
"735","CB4856","4",15,9.5,1
"736","CB4856","4",16,9,1
"737","CB4856","4",17,NA,0
"738","CB4856","4",18,NA,0
"739","CB4856","4",19,NA,0
"740","CB4856","4",20,NA,0
"741","CX11314","4",1,10,1
"742","CX11314","4",2,NA,0
"743","CX11314","4",3,14,1
"744","CX11314","4",4,8,1
"745","CX11314","4",5,10.5,1
"746","CX11314","4",6,NA,0
"747","CX11314","4",7,NA,0
"748","CX11314","4",8,11,1
"749","CX11314","4",9,14,1
"750","CX11314","4",10,10,1
"751","CX11314","4",11,NA,0
"752","CX11314","4",12,12,1
"753","CX11314","4",13,9.5,1
"754","CX11314","4",14,9.5,1
"755","CX11314","4",15,9.5,1
"756","CX11314","4",16,NA,0
"757","CX11314","4",17,NA,0
"758","CX11314","4",18,18,1
"759","CX11314","4",19,NA,0
"760","CX11314","4",20,NA,0
"761","DL238","4",1,NA,0
"762","DL238","4",2,10.5,1
"763","DL238","4",3,10.5,1
"764","DL238","4",4,10.5,1
"765","DL238","4",5,13,1
"766","DL238","4",6,NA,0
"767","DL238","4",7,NA,0
"768","DL238","4",8,8,1
"769","DL238","4",9,10,1
"770","DL238","4",10,8,1
"771","DL238","4",11,NA,0
"772","DL238","4",12,12.5,1
"773","DL238","4",13,9.5,1
"774","DL238","4",14,8,1
"775","DL238","4",15,10,1
"776","DL238","4",16,NA,0
"777","DL238","4",17,NA,0
"778","DL238","4",18,10.5,1
"779","DL238","4",19,NA,0
"780","DL238","4",20,NA,0
"781","ED3017","4",1,11,1
"782","ED3017","4",2,10.5,1
"783","ED3017","4",3,11,1
"784","ED3017","4",4,12,1
"785","ED3017","4",5,11,1
"786","ED3017","4",6,10.5,1
"787","ED3017","4",7,10.5,1
"788","ED3017","4",8,NA,0
"789","ED3017","4",9,NA,0
"790","ED3017","4",10,14.5,1
"791","ED3017","4",11,10.5,1
"792","ED3017","4",12,10,1
"793","ED3017","4",13,12,1
"794","ED3017","4",14,12,1
"795","ED3017","4",15,10.5,1
"796","ED3017","4",16,12.5,1
"797","ED3017","4",17,NA,0
"798","ED3017","4",18,12,1
"799","ED3017","4",19,12.5,1
"800","ED3017","4",20,NA,0
"801","EG4725","4",1,NA,0
"802","EG4725","4",2,9.5,1
"803","EG4725","4",3,7.5,1
"804","EG4725","4",4,9.5,1
"805","EG4725","4",5,NA,0
"806","EG4725","4",6,11,1
"807","EG4725","4",7,13.5,1
"808","EG4725","4",8,9.5,1
"809","EG4725","4",9,9,1
"810","EG4725","4",10,12,1
"811","EG4725","4",11,NA,0
"812","EG4725","4",12,12.5,1
"813","EG4725","4",13,11,1
"814","EG4725","4",14,14.5,1
"815","EG4725","4",15,10.5,1
"816","EG4725","4",16,NA,0
"817","EG4725","4",17,8.5,1
"818","EG4725","4",18,14.5,1
"819","EG4725","4",19,NA,0
"820","EG4725","4",20,NA,0
"821","JT11398","4",1,9.5,1
"822","JT11398","4",2,NA,0
"823","JT11398","4",3,8.5,1
"824","JT11398","4",4,10.5,1
"825","JT11398","4",5,10,1
"826","JT11398","4",6,9.5,1
"827","JT11398","4",7,9,1
"828","JT11398","4",8,10.5,1
"829","JT11398","4",9,12.5,1
"830","JT11398","4",10,9,1
"831","JT11398","4",11,13,1
"832","JT11398","4",12,9.5,1
"833","JT11398","4",13,11,1
"834","JT11398","4",14,10.5,1
"835","JT11398","4",15,10.5,1
"836","JT11398","4",16,10.5,1
"837","JT11398","4",17,13.5,1
"838","JT11398","4",18,15.5,1
"839","JT11398","4",19,NA,0
"840","JT11398","4",20,NA,0
"841","JU258","4",1,11,1
"842","JU258","4",2,10,1
"843","JU258","4",3,10,1
"844","JU258","4",4,8,1
"845","JU258","4",5,11,1
"846","JU258","4",6,NA,0
"847","JU258","4",7,9.5,1
"848","JU258","4",8,9.5,1
"849","JU258","4",9,10,1
"850","JU258","4",10,NA,0
"851","JU258","4",11,13.5,1
"852","JU258","4",12,12,1
"853","JU258","4",13,15.5,1
"854","JU258","4",14,8.5,1
"855","JU258","4",15,11,1
"856","JU258","4",16,10,1
"857","JU258","4",17,10,1
"858","JU258","4",18,NA,0
"859","JU258","4",19,NA,0
"860","JU258","4",20,NA,0
"861","JU775","4",1,9,1
"862","JU775","4",2,18.5,1
"863","JU775","4",3,NA,0
"864","JU775","4",4,8.5,1
"865","JU775","4",5,15.5,1
"866","JU775","4",6,9,1
"867","JU775","4",7,8,1
"868","JU775","4",8,9.5,1
"869","JU775","4",9,NA,0
"870","JU775","4",10,NA,0
"871","JU775","4",11,8,1
"872","JU775","4",12,NA,0
"873","JU775","4",13,15.5,1
"874","JU775","4",14,15,1
"875","JU775","4",15,15,1
"876","JU775","4",16,11,1
"877","JU775","4",17,11,1
"878","JU775","4",18,NA,0
"879","JU775","4",19,7.5,1
"880","JU775","4",20,NA,0
"881","LKC34","4",1,NA,0
"882","LKC34","4",2,18.5,1
"883","LKC34","4",3,13.5,1
"884","LKC34","4",4,9.5,1
"885","LKC34","4",5,8.5,1
"886","LKC34","4",6,14.5,1
"887","LKC34","4",7,18.5,1
"888","LKC34","4",8,14,1
"889","LKC34","4",9,NA,0
"890","LKC34","4",10,8,1
"891","LKC34","4",11,8.5,1
"892","LKC34","4",12,8.5,1
"893","LKC34","4",13,20,1
"894","LKC34","4",14,9.5,1
"895","LKC34","4",15,10.5,1
"896","LKC34","4",16,10,1
"897","LKC34","4",17,NA,0
"898","LKC34","4",18,NA,0
"899","LKC34","4",19,NA,0
"900","LKC34","4",20,NA,0
"901","MY16","4",1,9.5,1
"902","MY16","4",2,12.5,1
"903","MY16","4",3,9.5,1
"904","MY16","4",4,NA,0
"905","MY16","4",5,12,1
"906","MY16","4",6,NA,0
"907","MY16","4",7,9,1
"908","MY16","4",8,14.5,1
"909","MY16","4",9,10,1
"910","MY16","4",10,NA,0
"911","MY16","4",11,10.5,1
"912","MY16","4",12,9.5,1
"913","MY16","4",13,11,1
"914","MY16","4",14,NA,0
"915","MY16","4",15,9,1
"916","MY16","4",16,12.5,1
"917","MY16","4",17,11,1
"918","MY16","4",18,11,1
"919","MY16","4",19,NA,0
"920","MY16","4",20,NA,0
"921","MY23","4",1,18,1
"922","MY23","4",2,9.5,1
"923","MY23","4",3,13,1
"924","MY23","4",4,13.5,1
"925","MY23","4",5,11,1
"926","MY23","4",6,11,1
"927","MY23","4",7,NA,0
"928","MY23","4",8,10.5,1
"929","MY23","4",9,11,1
"930","MY23","4",10,9.5,1
"931","MY23","4",11,8.5,1
"932","MY23","4",12,9.5,1
"933","MY23","4",13,11,1
"934","MY23","4",14,11,1
"935","MY23","4",15,10.5,1
"936","MY23","4",16,9.5,1
"937","MY23","4",17,12.5,1
"938","MY23","4",18,14.5,1
"939","MY23","4",19,NA,0
"940","MY23","4",20,NA,0
"941","N2","4",1,8.5,1
"942","N2","4",2,10.5,1
"943","N2","4",3,13,1
"944","N2","4",4,10,1
"945","N2","4",5,12,1
"946","N2","4",6,11,1
"947","N2","4",7,NA,0
"948","N2","4",8,10,1
"949","N2","4",9,11,1
"950","N2","4",10,NA,0
"951","N2","4",11,12,1
"952","N2","4",12,13,1
"953","N2","4",13,NA,0
"954","N2","4",14,11,1
"955","N2","4",15,11,1
"956","N2","4",16,10.5,1
"957","N2","4",17,12,1
"958","N2","4",18,11,1
"959","N2","4",19,NA,0
"960","N2","4",20,13.5,1
"961","CB4856","5",1,14,1
"962","CB4856","5",2,9.5,1
"963","CB4856","5",3,13,1
"964","CB4856","5",4,12,1
"965","CB4856","5",5,9.5,1
"966","CB4856","5",6,7.5,1
"967","CB4856","5",7,NA,0
"968","CB4856","5",8,5,1
"969","CB4856","5",9,4.5,1
"970","CB4856","5",10,11.5,1
"971","CB4856","5",11,14.5,1
"972","CB4856","5",12,11,1
"973","CB4856","5",13,11,1
"974","CB4856","5",14,11.5,1
"975","CB4856","5",15,17,1
"976","CB4856","5",16,NA,0
"977","CB4856","5",17,15,1
"978","CB4856","5",18,NA,0
"979","CB4856","5",19,12,1
"980","CB4856","5",20,10,1
"981","CX11314","5",1,17,1
"982","CX11314","5",2,8,1
"983","CX11314","5",3,14.5,1
"984","CX11314","5",4,8,1
"985","CX11314","5",5,6,1
"986","CX11314","5",6,11,1
"987","CX11314","5",7,6.5,1
"988","CX11314","5",8,5.5,1
"989","CX11314","5",9,6,1
"990","CX11314","5",10,8.5,1
"991","CX11314","5",11,12.5,1
"992","CX11314","5",12,5.5,1
"993","CX11314","5",13,11.5,1
"994","CX11314","5",14,5.5,1
"995","CX11314","5",15,NA,0
"996","CX11314","5",16,10,1
"997","CX11314","5",17,10,1
"998","CX11314","5",18,NA,0
"999","CX11314","5",19,7.5,1
"1000","CX11314","5",20,7,1
"1001","DL238","5",1,15,1
"1002","DL238","5",2,12,1
"1003","DL238","5",3,NA,0
"1004","DL238","5",4,NA,0
"1005","DL238","5",5,7,1
"1006","DL238","5",6,6.5,1
"1007","DL238","5",7,5,1
"1008","DL238","5",8,6,1
"1009","DL238","5",9,9,1
"1010","DL238","5",10,NA,0
"1011","DL238","5",11,NA,0
"1012","DL238","5",12,9,1
"1013","DL238","5",13,8,1
"1014","DL238","5",14,NA,0
"1015","DL238","5",15,7,1
"1016","DL238","5",16,19,1
"1017","DL238","5",17,4.5,1
"1018","DL238","5",18,7,1
"1019","DL238","5",19,13,1
"1020","DL238","5",20,7.5,1
"1021","ED3017","5",1,8.5,1
"1022","ED3017","5",2,11.5,1
"1023","ED3017","5",3,9.5,1
"1024","ED3017","5",4,12.5,1
"1025","ED3017","5",5,NA,0
"1026","ED3017","5",6,12,1
"1027","ED3017","5",7,12.5,1
"1028","ED3017","5",8,7.5,1
"1029","ED3017","5",9,9,1
"1030","ED3017","5",10,8.5,1
"1031","ED3017","5",11,NA,0
"1032","ED3017","5",12,NA,0
"1033","ED3017","5",13,NA,0
"1034","ED3017","5",14,11,1
"1035","ED3017","5",15,NA,0
"1036","ED3017","5",16,NA,0
"1037","ED3017","5",17,NA,0
"1038","ED3017","5",18,NA,0
"1039","ED3017","5",19,5.5,1
"1040","ED3017","5",20,9,1
"1041","EG4725","5",1,10.5,1
"1042","EG4725","5",2,5.5,1
"1043","EG4725","5",3,10,1
"1044","EG4725","5",4,NA,0
"1045","EG4725","5",5,NA,0
"1046","EG4725","5",6,NA,0
"1047","EG4725","5",7,NA,0
"1048","EG4725","5",8,NA,0
"1049","EG4725","5",9,9.5,1
"1050","EG4725","5",10,7,1
"1051","EG4725","5",11,NA,0
"1052","EG4725","5",12,NA,0
"1053","EG4725","5",13,NA,0
"1054","EG4725","5",14,NA,0
"1055","EG4725","5",15,9,1
"1056","EG4725","5",16,10,1
"1057","EG4725","5",17,11.5,1
"1058","EG4725","5",18,10,1
"1059","EG4725","5",19,10.5,1
"1060","EG4725","5",20,15.5,1
"1061","JT11398","5",1,14.5,1
"1062","JT11398","5",2,NA,0
"1063","JT11398","5",3,9.5,1
"1064","JT11398","5",4,8.5,1
"1065","JT11398","5",5,8.5,1
"1066","JT11398","5",6,10,1
"1067","JT11398","5",7,13.5,1
"1068","JT11398","5",8,6.5,1
"1069","JT11398","5",9,8.5,1
"1070","JT11398","5",10,9,1
"1071","JT11398","5",11,14,1
"1072","JT11398","5",12,8,1
"1073","JT11398","5",13,7,1
"1074","JT11398","5",14,6.5,1
"1075","JT11398","5",15,7,1
"1076","JT11398","5",16,8.5,1
"1077","JT11398","5",17,5,1
"1078","JT11398","5",18,NA,0
"1079","JT11398","5",19,4.5,1
"1080","JT11398","5",20,5,1
"1081","JU258","5",1,5.5,1
"1082","JU258","5",2,9.5,1
"1083","JU258","5",3,14,1
"1084","JU258","5",4,NA,0
"1085","JU258","5",5,15.5,1
"1086","JU258","5",6,15.5,1
"1087","JU258","5",7,NA,0
"1088","JU258","5",8,NA,0
"1089","JU258","5",9,14,1
"1090","JU258","5",10,NA,0
"1091","JU258","5",11,14.5,1
"1092","JU258","5",12,15.5,1
"1093","JU258","5",13,10.5,1
"1094","JU258","5",14,15,1
"1095","JU258","5",15,12,1
"1096","JU258","5",16,16.5,1
"1097","JU258","5",17,17.5,1
"1098","JU258","5",18,14.5,1
"1099","JU258","5",19,5.5,1
"1100","JU258","5",20,16,1
"1101","JU775","5",1,10.5,1
"1102","JU775","5",2,11,1
"1103","JU775","5",3,9.5,1
"1104","JU775","5",4,13.5,1
"1105","JU775","5",5,13.5,1
"1106","JU775","5",6,10.5,1
"1107","JU775","5",7,11.5,1
"1108","JU775","5",8,10.5,1
"1109","JU775","5",9,10.5,1
"1110","JU775","5",10,12,1
"1111","JU775","5",11,8,1
"1112","JU775","5",12,8.5,1
"1113","JU775","5",13,11.5,1
"1114","JU775","5",14,10,1
"1115","JU775","5",15,10.5,1
"1116","JU775","5",16,9,1
"1117","JU775","5",17,7,1
"1118","JU775","5",18,9.5,1
"1119","JU775","5",19,10,1
"1120","JU775","5",20,9,1
"1121","LKC34","5",1,10,1
"1122","LKC34","5",2,6.5,1
"1123","LKC34","5",3,7,1
"1124","LKC34","5",4,6.5,1
"1125","LKC34","5",5,NA,0
"1126","LKC34","5",6,8,1
"1127","LKC34","5",7,8.5,1
"1128","LKC34","5",8,9.5,1
"1129","LKC34","5",9,NA,0
"1130","LKC34","5",10,6,1
"1131","LKC34","5",11,10.5,1
"1132","LKC34","5",12,8,1
"1133","LKC34","5",13,9.5,1
"1134","LKC34","5",14,NA,0
"1135","LKC34","5",15,8,1
"1136","LKC34","5",16,7,1
"1137","LKC34","5",17,7,1
"1138","LKC34","5",18,13,1
"1139","LKC34","5",19,NA,0
"1140","LKC34","5",20,4.5,1
"1141","MY16","5",1,12,1
"1142","MY16","5",2,14,1
"1143","MY16","5",3,12.5,1
"1144","MY16","5",4,8,1
"1145","MY16","5",5,11,1
"1146","MY16","5",6,13,1
"1147","MY16","5",7,14.5,1
"1148","MY16","5",8,14.5,1
"1149","MY16","5",9,10.5,1
"1150","MY16","5",10,7.5,1
"1151","MY16","5",11,9,1
"1152","MY16","5",12,10,1
"1153","MY16","5",13,15,1
"1154","MY16","5",14,12.5,1
"1155","MY16","5",15,15.5,1
"1156","MY16","5",16,5,1
"1157","MY16","5",17,13.5,1
"1158","MY16","5",18,6,1
"1159","MY16","5",19,11.5,1
"1160","MY16","5",20,13.5,1
"1161","MY23","5",1,16.5,1
"1162","MY23","5",2,15,1
"1163","MY23","5",3,16,1
"1164","MY23","5",4,13,1
"1165","MY23","5",5,15,1
"1166","MY23","5",6,NA,0
"1167","MY23","5",7,5,1
"1168","MY23","5",8,15.5,1
"1169","MY23","5",9,14.5,1
"1170","MY23","5",10,8,1
"1171","MY23","5",11,13,1
"1172","MY23","5",12,15,1
"1173","MY23","5",13,17,1
"1174","MY23","5",14,14.5,1
"1175","MY23","5",15,6,1
"1176","MY23","5",16,18.5,1
"1177","MY23","5",17,NA,0
"1178","MY23","5",18,17,1
"1179","MY23","5",19,16.5,1
"1180","MY23","5",20,5.5,1
"1181","N2","5",1,11.5,1
"1182","N2","5",2,10,1
"1183","N2","5",3,14,1
"1184","N2","5",4,14.5,1
"1185","N2","5",5,12.5,1
"1186","N2","5",6,10.5,1
"1187","N2","5",7,11.5,1
"1188","N2","5",8,12.5,1
"1189","N2","5",9,10.5,1
"1190","N2","5",10,9.5,1
"1191","N2","5",11,9,1
"1192","N2","5",12,9,1
"1193","N2","5",13,13,1
"1194","N2","5",14,8.5,1
"1195","N2","5",15,8.5,1
"1196","N2","5",16,10.5,1
"1197","N2","5",17,10.5,1
"1198","N2","5",18,11.5,1
"1199","N2","5",19,9.5,1
"1200","N2","5",20,12.5,1
"1201","CB4856","6",1,11.5,1
"1202","CB4856","6",2,7,1
"1203","CB4856","6",3,15,1
"1204","CB4856","6",4,11.5,1
"1205","CB4856","6",5,NA,0
"1206","CB4856","6",6,NA,0
"1207","CB4856","6",7,11.5,1
"1208","CB4856","6",8,11.5,1
"1209","CB4856","6",9,7,1
"1210","CB4856","6",10,7.5,1
"1211","CB4856","6",11,11.5,1
"1212","CB4856","6",12,11.5,1
"1213","CB4856","6",13,11.5,1
"1214","CB4856","6",14,11.5,1
"1215","CB4856","6",15,13,1
"1216","CB4856","6",16,NA,0
"1217","CB4856","6",17,12,1
"1218","CB4856","6",18,7,1
"1219","CB4856","6",19,NA,0
"1220","CB4856","6",20,11.5,1
"1221","CX11314","6",1,18,1
"1222","CX11314","6",2,7.5,1
"1223","CX11314","6",3,NA,0
"1224","CX11314","6",4,7.5,1
"1225","CX11314","6",5,13,1
"1226","CX11314","6",6,7,1
"1227","CX11314","6",7,11.5,1
"1228","CX11314","6",8,13,1
"1229","CX11314","6",9,11.5,1
"1230","CX11314","6",10,11.5,1
"1231","CX11314","6",11,12,1
"1232","CX11314","6",12,NA,0
"1233","CX11314","6",13,11.5,1
"1234","CX11314","6",14,15,1
"1235","CX11314","6",15,7,1
"1236","CX11314","6",16,11.5,1
"1237","CX11314","6",17,11.5,1
"1238","CX11314","6",18,NA,0
"1239","CX11314","6",19,NA,0
"1240","CX11314","6",20,NA,0
"1241","DL238","6",1,7.5,1
"1242","DL238","6",2,NA,0
"1243","DL238","6",3,7.5,1
"1244","DL238","6",4,11.5,1
"1245","DL238","6",5,11.5,1
"1246","DL238","6",6,11.5,1
"1247","DL238","6",7,NA,0
"1248","DL238","6",8,NA,0
"1249","DL238","6",9,NA,0
"1250","DL238","6",10,NA,0
"1251","DL238","6",11,12.5,1
"1252","DL238","6",12,NA,0
"1253","DL238","6",13,NA,0
"1254","DL238","6",14,NA,0
"1255","DL238","6",15,12,1
"1256","DL238","6",16,NA,0
"1257","DL238","6",17,7,1
"1258","DL238","6",18,NA,0
"1259","DL238","6",19,NA,0
"1260","DL238","6",20,NA,0
"1261","ED3017","6",1,15,1
"1262","ED3017","6",2,11.5,1
"1263","ED3017","6",3,11.5,1
"1264","ED3017","6",4,NA,0
"1265","ED3017","6",5,11.5,1
"1266","ED3017","6",6,11.5,1
"1267","ED3017","6",7,7.5,1
"1268","ED3017","6",8,12,1
"1269","ED3017","6",9,11.5,1
"1270","ED3017","6",10,13,1
"1271","ED3017","6",11,11.5,1
"1272","ED3017","6",12,12.5,1
"1273","ED3017","6",13,11.5,1
"1274","ED3017","6",14,NA,0
"1275","ED3017","6",15,NA,0
"1276","ED3017","6",16,15,1
"1277","ED3017","6",17,11.5,1
"1278","ED3017","6",18,11.5,1
"1279","ED3017","6",19,NA,0
"1280","ED3017","6",20,12.5,1
"1281","EG4725","6",1,11.5,1
"1282","EG4725","6",2,11.5,1
"1283","EG4725","6",3,7,1
"1284","EG4725","6",4,12,1
"1285","EG4725","6",5,11.5,1
"1286","EG4725","6",6,11.5,1
"1287","EG4725","6",7,18.5,1
"1288","EG4725","6",8,12.5,1
"1289","EG4725","6",9,17.5,1
"1290","EG4725","6",10,11.5,1
"1291","EG4725","6",11,12,1
"1292","EG4725","6",12,12,1
"1293","EG4725","6",13,11.5,1
"1294","EG4725","6",14,11.5,1
"1295","EG4725","6",15,11.5,1
"1296","EG4725","6",16,NA,0
"1297","EG4725","6",17,NA,0
"1298","EG4725","6",18,NA,0
"1299","EG4725","6",19,12,1
"1300","EG4725","6",20,11.5,1
"1301","JT11398","6",1,7,1
"1302","JT11398","6",2,NA,0
"1303","JT11398","6",3,11.5,1
"1304","JT11398","6",4,7.5,1
"1305","JT11398","6",5,11.5,1
"1306","JT11398","6",6,11.5,1
"1307","JT11398","6",7,7.5,1
"1308","JT11398","6",8,11.5,1
"1309","JT11398","6",9,7.5,1
"1310","JT11398","6",10,11.5,1
"1311","JT11398","6",11,11.5,1
"1312","JT11398","6",12,11.5,1
"1313","JT11398","6",13,7.5,1
"1314","JT11398","6",14,11.5,1
"1315","JT11398","6",15,17.5,1
"1316","JT11398","6",16,11.5,1
"1317","JT11398","6",17,15,1
"1318","JT11398","6",18,11.5,1
"1319","JT11398","6",19,NA,0
"1320","JT11398","6",20,NA,0
"1321","JU258","6",1,12,1
"1322","JU258","6",2,13,1
"1323","JU258","6",3,11.5,1
"1324","JU258","6",4,11.5,1
"1325","JU258","6",5,11.5,1
"1326","JU258","6",6,NA,0
"1327","JU258","6",7,11.5,1
"1328","JU258","6",8,11.5,1
"1329","JU258","6",9,11.5,1
"1330","JU258","6",10,7.5,1
"1331","JU258","6",11,NA,0
"1332","JU258","6",12,11.5,1
"1333","JU258","6",13,19.5,1
"1334","JU258","6",14,NA,0
"1335","JU258","6",15,NA,0
"1336","JU258","6",16,NA,0
"1337","JU258","6",17,NA,0
"1338","JU258","6",18,NA,0
"1339","JU258","6",19,11.5,1
"1340","JU258","6",20,11.5,1
"1341","JU775","6",1,18.5,1
"1342","JU775","6",2,7.5,1
"1343","JU775","6",3,NA,0
"1344","JU775","6",4,NA,0
"1345","JU775","6",5,17.5,1
"1346","JU775","6",6,15,1
"1347","JU775","6",7,11.5,1
"1348","JU775","6",8,11.5,1
"1349","JU775","6",9,11.5,1
"1350","JU775","6",10,7,1
"1351","JU775","6",11,11.5,1
"1352","JU775","6",12,23.5,1
"1353","JU775","6",13,15,1
"1354","JU775","6",14,20.5,1
"1355","JU775","6",15,11.5,1
"1356","JU775","6",16,7.5,1
"1357","JU775","6",17,11.5,1
"1358","JU775","6",18,20,1
"1359","JU775","6",19,11.5,1
"1360","JU775","6",20,11.5,1
"1361","LKC34","6",1,22,1
"1362","LKC34","6",2,15,1
"1363","LKC34","6",3,11.5,1
"1364","LKC34","6",4,12,1
"1365","LKC34","6",5,11.5,1
"1366","LKC34","6",6,17.5,1
"1367","LKC34","6",7,23,1
"1368","LKC34","6",8,NA,0
"1369","LKC34","6",9,7,1
"1370","LKC34","6",10,11.5,1
"1371","LKC34","6",11,13,1
"1372","LKC34","6",12,20.5,1
"1373","LKC34","6",13,NA,0
"1374","LKC34","6",14,15,1
"1375","LKC34","6",15,12,1
"1376","LKC34","6",16,11.5,1
"1377","LKC34","6",17,12.5,1
"1378","LKC34","6",18,20.5,1
"1379","LKC34","6",19,NA,0
"1380","LKC34","6",20,NA,0
"1381","MY16","6",1,12.5,1
"1382","MY16","6",2,11.5,1
"1383","MY16","6",3,7,1
"1384","MY16","6",4,13,1
"1385","MY16","6",5,11.5,1
"1386","MY16","6",6,11.5,1
"1387","MY16","6",7,7.5,1
"1388","MY16","6",8,12,1
"1389","MY16","6",9,11.5,1
"1390","MY16","6",10,11.5,1
"1391","MY16","6",11,NA,0
"1392","MY16","6",12,11.5,1
"1393","MY16","6",13,11.5,1
"1394","MY16","6",14,11.5,1
"1395","MY16","6",15,12.5,1
"1396","MY16","6",16,12,1
"1397","MY16","6",17,NA,0
"1398","MY16","6",18,NA,0
"1399","MY16","6",19,11.5,1
"1400","MY16","6",20,NA,0
"1401","MY23","6",1,11.5,1
"1402","MY23","6",2,11.5,1
"1403","MY23","6",3,11.5,1
"1404","MY23","6",4,11.5,1
"1405","MY23","6",5,11.5,1
"1406","MY23","6",6,11.5,1
"1407","MY23","6",7,11.5,1
"1408","MY23","6",8,NA,0
"1409","MY23","6",9,NA,0
"1410","MY23","6",10,11.5,1
"1411","MY23","6",11,NA,0
"1412","MY23","6",12,7.5,1
"1413","MY23","6",13,15,1
"1414","MY23","6",14,NA,0
"1415","MY23","6",15,11.5,1
"1416","MY23","6",16,11.5,1
"1417","MY23","6",17,NA,0
"1418","MY23","6",18,11.5,1
"1419","MY23","6",19,22,1
"1420","MY23","6",20,NA,0
"1421","N2","6",1,NA,0
"1422","N2","6",2,7.5,1
"1423","N2","6",3,11.5,1
"1424","N2","6",4,11.5,1
"1425","N2","6",5,11.5,1
"1426","N2","6",6,11.5,1
"1427","N2","6",7,12,1
"1428","N2","6",8,11.5,1
"1429","N2","6",9,11.5,1
"1430","N2","6",10,15,1
"1431","N2","6",11,7.5,1
"1432","N2","6",12,11.5,1
"1433","N2","6",13,7.5,1
"1434","N2","6",14,15,1
"1435","N2","6",15,20.5,1
"1436","N2","6",16,13,1
"1437","N2","6",17,NA,0
"1438","N2","6",18,NA,0
"1439","N2","6",19,NA,0
"1440","N2","6",20,NA,0
