"","strain","plate_num","worm_num","lifespan_days","status"
"727","JT11398","4",7,11,1
"728","JT11398","4",8,8.5,1
"729","JT11398","4",9,7.5,1
"730","JT11398","4",10,7,1
"731","JT11398","4",11,14.5,1
"732","JT11398","4",12,16.5,1
"733","JT11398","4",13,15,1
"734","JT11398","4",14,NA,0
"735","JT11398","4",15,6,1
"736","JT11398","4",16,5,1
"737","JT11398","4",17,7.5,1
"738","JT11398","4",18,6.5,1
"739","JT11398","4",19,6.5,1
"740","JT11398","4",20,8.5,1
"741","LKC34","4",1,16.5,1
"742","LKC34","4",2,16.5,1
"743","LKC34","4",3,17,1
"744","LKC34","4",4,18.5,1
"745","LKC34","4",5,18,1
"746","LKC34","4",6,17.5,1
"747","LKC34","4",7,15,1
"748","LKC34","4",8,13.5,1
"749","LKC34","4",9,15.5,1
"750","LKC34","4",10,8,1
"751","LKC34","4",11,5,1
"752","LKC34","4",12,14,1
"753","LKC34","4",13,14.5,1
"754","LKC34","4",14,8.5,1
"755","LKC34","4",15,9,1
"756","LKC34","4",16,7.5,1
"757","LKC34","4",17,6,1
"758","LKC34","4",18,6.5,1
"759","LKC34","4",19,8,1
"760","LKC34","4",20,14,1
"761","EG4725","4",1,16.5,1
"762","EG4725","4",2,16.5,1
"763","EG4725","4",3,3,1
"764","EG4725","4",4,8,1
"765","EG4725","4",5,11,1
"766","EG4725","4",6,5,1
"767","EG4725","4",7,3,1
"768","EG4725","4",8,3.5,1
"769","EG4725","4",9,9.5,1
"770","EG4725","4",10,10,1
"771","EG4725","4",11,8,1
"772","EG4725","4",12,5,1
"773","EG4725","4",13,5,1
"774","EG4725","4",14,6.5,1
"775","EG4725","4",15,5,1
"776","EG4725","4",16,6,1
"777","EG4725","4",17,6.5,1
"778","EG4725","4",18,4.5,1
"779","EG4725","4",19,10,1
"780","EG4725","4",20,7.5,1
"781","CB4856","4",1,4,1
"782","CB4856","4",2,16.5,1
"783","CB4856","4",3,14.5,1
"784","CB4856","4",4,8,1
"785","CB4856","4",5,8,1
"786","CB4856","4",6,10,1
"787","CB4856","4",7,7,1
"788","CB4856","4",8,15,1
"789","CB4856","4",9,9.5,1
"790","CB4856","4",10,15.5,1
"791","CB4856","4",11,16,1
"792","CB4856","4",12,11,1
"793","CB4856","4",13,6.5,1
"794","CB4856","4",14,9,1
"795","CB4856","4",15,3.5,1
"796","CB4856","4",16,7.5,1
"797","CB4856","4",17,9,1
"798","CB4856","4",18,7,1
"799","CB4856","4",19,12,1
"800","CB4856","4",20,12,1
"801","CX11314","4",1,5.5,1
"802","CX11314","4",2,16.5,1
"803","CX11314","4",3,15.5,1
"804","CX11314","4",4,9,1
"805","CX11314","4",5,11,1
"806","CX11314","4",6,8.5,1
"807","CX11314","4",7,11.5,1
"808","CX11314","4",8,15.5,1
"809","CX11314","4",9,8.5,1
"810","CX11314","4",10,13.5,1
"811","CX11314","4",11,14.5,1
"812","CX11314","4",12,11.5,1
"813","CX11314","4",13,7,1
"814","CX11314","4",14,8.5,1
"815","CX11314","4",15,5,1
"816","CX11314","4",16,9.5,1
"817","CX11314","4",17,6,1
"818","CX11314","4",18,7,1
"819","CX11314","4",19,18.5,1
"820","CX11314","4",20,11,1
"821","ED3017","4",1,7,1
"822","ED3017","4",2,16.5,1
"823","ED3017","4",3,14,1
"824","ED3017","4",4,6,1
"825","ED3017","4",5,14,1
"826","ED3017","4",6,NA,0
"827","ED3017","4",7,5,1
"828","ED3017","4",8,15,1
"829","ED3017","4",9,3,1
"830","ED3017","4",10,11,1
"831","ED3017","4",11,12,1
"832","ED3017","4",12,11,1
"833","ED3017","4",13,8,1
"834","ED3017","4",14,3.5,1
"835","ED3017","4",15,5,1
"836","ED3017","4",16,7.5,1
"837","ED3017","4",17,6,1
"838","ED3017","4",18,6,1
"839","ED3017","4",19,13.5,1
"840","ED3017","4",20,8.5,1
"841","MY23","4",1,4.5,1
"842","MY23","4",2,16.5,1
"843","MY23","4",3,17,1
"844","MY23","4",4,15.5,1
"845","MY23","4",5,17,1
"846","MY23","4",6,8.5,1
"847","MY23","4",7,17,1
"848","MY23","4",8,15.5,1
"849","MY23","4",9,15.5,1
"850","MY23","4",10,14.5,1
"851","MY23","4",11,13.5,1
"852","MY23","4",12,7.5,1
"853","MY23","4",13,14,1
"854","MY23","4",14,15.5,1
"855","MY23","4",15,11.5,1
"856","MY23","4",16,10,1
"857","MY23","4",17,9,1
"858","MY23","4",18,18.5,1
"859","MY23","4",19,11.5,1
"860","MY23","4",20,17,1
"861","JU775","4",1,11,1
"862","JU775","4",2,14.5,1
"863","JU775","4",3,21,1
"864","JU775","4",4,18.5,1
"865","JU775","4",5,19,1
"866","JU775","4",6,19.5,1
"867","JU775","4",7,16.5,1
"868","JU775","4",8,14,1
"869","JU775","4",9,15.5,1
"870","JU775","4",10,13.5,1
"871","JU775","4",11,15.5,1
"872","JU775","4",12,19,1
"873","JU775","4",13,14,1
"874","JU775","4",14,6,1
"875","JU775","4",15,11,1
"876","JU775","4",16,NA,0
"877","JU775","4",17,NA,0
"878","JU775","4",18,NA,0
"879","JU775","4",19,NA,0
"880","JU775","4",20,NA,0
"881","N2","4",1,11.5,1
"882","N2","4",2,10.5,1
"883","N2","4",3,15,1
"884","N2","4",4,9.5,1
"885","N2","4",5,10.5,1
"886","N2","4",6,10.5,1
"887","N2","4",7,11.5,1
"888","N2","4",8,9,1
"889","N2","4",9,11.5,1
"890","N2","4",10,13.5,1
"891","N2","4",11,12,1
"892","N2","4",12,9.5,1
"893","N2","4",13,10,1
"894","N2","4",14,10.5,1
"895","N2","4",15,7.5,1
"896","N2","4",16,10.5,1
"897","N2","4",17,11,1
"898","N2","4",18,9,1
"899","N2","4",19,11.5,1
"900","N2","4",20,12,1
"901","JU258","4",1,12,1
"902","JU258","4",2,14.5,1
"903","JU258","4",3,8,1
"904","JU258","4",4,6.5,1
"905","JU258","4",5,10,1
"906","JU258","4",6,10,1
"907","JU258","4",7,5,1
"908","JU258","4",8,12,1
"909","JU258","4",9,8,1
"910","JU258","4",10,10,1
"911","JU258","4",11,9.5,1
"912","JU258","4",12,7,1
"913","JU258","4",13,6.5,1
"914","JU258","4",14,6,1
"915","JU258","4",15,5,1
"916","JU258","4",16,10,1
"917","JU258","4",17,9,1
"918","JU258","4",18,15.5,1
"919","JU258","4",19,9.5,1
"920","JU258","4",20,12,1
"921","MY16","4",1,14,1
"922","MY16","4",2,15.5,1
"923","MY16","4",3,18.5,1
"924","MY16","4",4,15.5,1
"925","MY16","4",5,17.5,1
"926","MY16","4",6,NA,0
"927","MY16","4",7,17,1
"928","MY16","4",8,7.5,1
"929","MY16","4",9,19.5,1
"930","MY16","4",10,17.5,1
"931","MY16","4",11,18,1
"932","MY16","4",12,19.5,1
"933","MY16","4",13,15,1
"934","MY16","4",14,4.5,1
"935","MY16","4",15,6,1
"936","MY16","4",16,9.5,1
"937","MY16","4",17,16.5,1
"938","MY16","4",18,20,1
"939","MY16","4",19,21.5,1
"940","MY16","4",20,15,1
"941","DL238","4",1,10.5,1
"942","DL238","4",2,14,1
"943","DL238","4",3,9,1
"944","DL238","4",4,11,1
"945","DL238","4",5,11,1
"946","DL238","4",6,6,1
"947","DL238","4",7,12,1
"948","DL238","4",8,13.5,1
"949","DL238","4",9,10,1
"950","DL238","4",10,NA,0
"951","DL238","4",11,6.5,1
"952","DL238","4",12,14.5,1
"953","DL238","4",13,12,1
"954","DL238","4",14,15.5,1
"955","DL238","4",15,15.5,1
"956","DL238","4",16,14,1
"957","DL238","4",17,7,1
"958","DL238","4",18,10.5,1
"959","DL238","4",19,13.5,1
"960","DL238","4",20,14.5,1
"961","JT11398","5",1,5.5,1
"962","JT11398","5",2,5,1
"963","JT11398","5",3,8,1
"964","JT11398","5",4,4,1
"965","JT11398","5",5,9.5,1
"966","JT11398","5",6,NA,0
"967","JT11398","5",7,3.5,1
"968","JT11398","5",8,3,1
"969","JT11398","5",9,2.5,1
"970","JT11398","5",10,5,1
"971","JT11398","5",11,3.5,1
"972","JT11398","5",12,9,1
"973","JT11398","5",13,4,1
"974","JT11398","5",14,5.5,1
"975","JT11398","5",15,7,1
"976","JT11398","5",16,4,1
"977","JT11398","5",17,14,1
"978","JT11398","5",18,9.5,1
"979","JT11398","5",19,6,1
"980","JT11398","5",20,14.5,1
"981","LKC34","5",1,6.5,1
"982","LKC34","5",2,7.5,1
"983","LKC34","5",3,3.5,1
"984","LKC34","5",4,7,1
"985","LKC34","5",5,10,1
"986","LKC34","5",6,6.5,1
"987","LKC34","5",7,7.5,1
"988","LKC34","5",8,4,1
"989","LKC34","5",9,2.5,1
"990","LKC34","5",10,2.5,1
"991","LKC34","5",11,7.5,1
"992","LKC34","5",12,5,1
"993","LKC34","5",13,8,1
"994","LKC34","5",14,15,1
"995","LKC34","5",15,10.5,1
"996","LKC34","5",16,6.5,1
"997","LKC34","5",17,13,1
"998","LKC34","5",18,16,1
"999","LKC34","5",19,8,1
"1000","LKC34","5",20,4,1
"1001","EG4725","5",1,2,1
"1002","EG4725","5",2,2.5,1
"1003","EG4725","5",3,14,1
"1004","EG4725","5",4,8,1
"1005","EG4725","5",5,5,1
"1006","EG4725","5",6,8.5,1
"1007","EG4725","5",7,6.5,1
"1008","EG4725","5",8,NA,0
"1009","EG4725","5",9,2,1
"1010","EG4725","5",10,1.5,1
"1011","EG4725","5",11,2,1
"1012","EG4725","5",12,3.5,1
"1013","EG4725","5",13,4,1
"1014","EG4725","5",14,8,1
"1015","EG4725","5",15,10,1
"1016","EG4725","5",16,2.5,1
"1017","EG4725","5",17,5,1
"1018","EG4725","5",18,7,1
"1019","EG4725","5",19,9,1
"1020","EG4725","5",20,8.5,1
"1021","CB4856","5",1,3,1
"1022","CB4856","5",2,10.5,1
"1023","CB4856","5",3,10.5,1
"1024","CB4856","5",4,4,1
"1025","CB4856","5",5,5.5,1
"1026","CB4856","5",6,NA,0
"1027","CB4856","5",7,3,1
"1028","CB4856","5",8,12,1
"1029","CB4856","5",9,5,1
"1030","CB4856","5",10,4,1
"1031","CB4856","5",11,6,1
"1032","CB4856","5",12,6,1
"1033","CB4856","5",13,2,1
"1034","CB4856","5",14,2,1
"1035","CB4856","5",15,10.5,1
"1036","CB4856","5",16,3.5,1
"1037","CB4856","5",17,12,1
"1038","CB4856","5",18,10.5,1
"1039","CB4856","5",19,7,1
"1040","CB4856","5",20,14,1
"1041","CX11314","5",1,13,1
"1042","CX11314","5",2,8.5,1
"1043","CX11314","5",3,2,1
"1044","CX11314","5",4,7,1
"1045","CX11314","5",5,5.5,1
"1046","CX11314","5",6,7.5,1
"1047","CX11314","5",7,9,1
"1048","CX11314","5",8,NA,0
"1049","CX11314","5",9,7,1
"1050","CX11314","5",10,8,1
"1051","CX11314","5",11,1.5,1
"1052","CX11314","5",12,6.5,1
"1053","CX11314","5",13,NA,0
"1054","CX11314","5",14,9.5,1
"1055","CX11314","5",15,4,1
"1056","CX11314","5",16,13.5,1
"1057","CX11314","5",17,14.5,1
"1058","CX11314","5",18,9.5,1
"1059","CX11314","5",19,10,1
"1060","CX11314","5",20,12.5,1
"1061","ED3017","5",1,9,1
"1062","ED3017","5",2,4,1
"1063","ED3017","5",3,3.5,1
"1064","ED3017","5",4,5,1
"1065","ED3017","5",5,2,1
"1066","ED3017","5",6,2,1
"1067","ED3017","5",7,NA,0
"1068","ED3017","5",8,15.5,1
"1069","ED3017","5",9,2,1
"1070","ED3017","5",10,2,1
"1071","ED3017","5",11,2.5,1
"1072","ED3017","5",12,4,1
"1073","ED3017","5",13,3.5,1
"1074","ED3017","5",14,9,1
"1075","ED3017","5",15,3.5,1
"1076","ED3017","5",16,10,1
"1077","ED3017","5",17,8,1
"1078","ED3017","5",18,6.5,1
"1079","ED3017","5",19,13.5,1
"1080","ED3017","5",20,12,1
"1081","MY23","5",1,NA,0
"1082","MY23","5",2,16.5,1
"1083","MY23","5",3,10.5,1
"1084","MY23","5",4,10.5,1
"1085","MY23","5",5,15.5,1
"1086","MY23","5",6,3.5,1
"1087","MY23","5",7,5.5,1
"1088","MY23","5",8,5,1
"1089","MY23","5",9,2,1
"1090","MY23","5",10,2,1
"1091","MY23","5",11,6,1
"1092","MY23","5",12,2.5,1
"1093","MY23","5",13,8,1
"1094","MY23","5",14,8,1
"1095","MY23","5",15,6.5,1
"1096","MY23","5",16,5.5,1
"1097","MY23","5",17,14,1
"1098","MY23","5",18,15,1
"1099","MY23","5",19,5,1
"1100","MY23","5",20,16,1
"1101","JU775","5",1,9.5,1
"1102","JU775","5",2,9.5,1
"1103","JU775","5",3,4,1
"1104","JU775","5",4,9,1
"1105","JU775","5",5,16.5,1
"1106","JU775","5",6,14,1
"1107","JU775","5",7,14,1
"1108","JU775","5",8,8.5,1
"1109","JU775","5",9,13.5,1
"1110","JU775","5",10,7,1
"1111","JU775","5",11,8.5,1
"1112","JU775","5",12,4,1
"1113","JU775","5",13,15.5,1
"1114","JU775","5",14,5,1
"1115","JU775","5",15,13,1
"1116","JU775","5",16,10.5,1
"1117","JU775","5",17,13.5,1
"1118","JU775","5",18,10,1
"1119","JU775","5",19,8,1
"1120","JU775","5",20,9,1
"1121","N2","5",1,13,1
"1122","N2","5",2,13,1
"1123","N2","5",3,7,1
"1124","N2","5",4,NA,0
"1125","N2","5",5,13,1
"1126","N2","5",6,9.5,1
"1127","N2","5",7,13,1
"1128","N2","5",8,13,1
"1129","N2","5",9,14,1
"1130","N2","5",10,12,1
"1131","N2","5",11,9,1
"1132","N2","5",12,13,1
"1133","N2","5",13,5.5,1
"1134","N2","5",14,10,1
"1135","N2","5",15,9,1
"1136","N2","5",16,7,1
"1137","N2","5",17,13,1
"1138","N2","5",18,14,1
"1139","N2","5",19,10.5,1
"1140","N2","5",20,15,1
"1141","JU258","5",1,17,1
"1142","JU258","5",2,3,1
"1143","JU258","5",3,2,1
"1144","JU258","5",4,8.5,1
"1145","JU258","5",5,8,1
"1146","JU258","5",6,7.5,1
"1147","JU258","5",7,2,1
"1148","JU258","5",8,10,1
"1149","JU258","5",9,7,1
"1150","JU258","5",10,7.5,1
"1151","JU258","5",11,2,1
"1152","JU258","5",12,7,1
"1153","JU258","5",13,9,1
"1154","JU258","5",14,7.5,1
"1155","JU258","5",15,3.5,1
"1156","JU258","5",16,9,1
"1157","JU258","5",17,12,1
"1158","JU258","5",18,10.5,1
"1159","JU258","5",19,8.5,1
"1160","JU258","5",20,14,1
"1161","MY16","5",1,18.5,1
"1162","MY16","5",2,10,1
"1163","MY16","5",3,15.5,1
"1164","MY16","5",4,9.5,1
"1165","MY16","5",5,2,1
"1166","MY16","5",6,8.5,1
"1167","MY16","5",7,7.5,1
"1168","MY16","5",8,7.5,1
"1169","MY16","5",9,2,1
"1170","MY16","5",10,2,1
"1171","MY16","5",11,4,1
"1172","MY16","5",12,3.5,1
"1173","MY16","5",13,16,1
"1174","MY16","5",14,9.5,1
"1175","MY16","5",15,3,1
"1176","MY16","5",16,3,1
"1177","MY16","5",17,2.5,1
"1178","MY16","5",18,5,1
"1179","MY16","5",19,2.5,1
"1180","MY16","5",20,3,1
"1181","DL238","5",1,8,1
"1182","DL238","5",2,10.5,1
"1183","DL238","5",3,3,1
"1184","DL238","5",4,5,1
"1185","DL238","5",5,5,1
"1186","DL238","5",6,12,1
"1187","DL238","5",7,5,1
"1188","DL238","5",8,15,1
"1189","DL238","5",9,10.5,1
"1190","DL238","5",10,10.5,1
"1191","DL238","5",11,10.5,1
"1192","DL238","5",12,2,1
"1193","DL238","5",13,5.5,1
"1194","DL238","5",14,12,1
"1195","DL238","5",15,4,1
"1196","DL238","5",16,5.5,1
"1197","DL238","5",17,13,1
"1198","DL238","5",18,7.5,1
"1199","DL238","5",19,10,1
"1200","DL238","5",20,12,1
"1201","JT11398","6",1,9.5,1
"1202","JT11398","6",2,16.5,1
"1203","JT11398","6",3,14.5,1
"1204","JT11398","6",4,10,1
"1205","JT11398","6",5,7.5,1
"1206","JT11398","6",6,2,1
"1207","JT11398","6",7,12.5,1
"1208","JT11398","6",8,10,1
"1209","JT11398","6",9,6,1
"1210","JT11398","6",10,10,1
"1211","JT11398","6",11,10.5,1
"1212","JT11398","6",12,15.5,1
"1213","JT11398","6",13,8,1
"1214","JT11398","6",14,7,1
"1215","JT11398","6",15,6,1
"1216","JT11398","6",16,17.5,1
"1217","JT11398","6",17,20.5,1
"1218","JT11398","6",18,15,1
"1219","JT11398","6",19,18.5,1
"1220","JT11398","6",20,13.5,1
"1221","LKC34","6",1,20,1
"1222","LKC34","6",2,16.5,1
"1223","LKC34","6",3,5,1
"1224","LKC34","6",4,10.5,1
"1225","LKC34","6",5,8.5,1
"1226","LKC34","6",6,8,1
"1227","LKC34","6",7,16,1
"1228","LKC34","6",8,19.5,1
"1229","LKC34","6",9,15,1
"1230","LKC34","6",10,17.5,1
"1231","LKC34","6",11,19.5,1
"1232","LKC34","6",12,13.5,1
"1233","LKC34","6",13,16.5,1
"1234","LKC34","6",14,8,1
"1235","LKC34","6",15,9.5,1
"1236","LKC34","6",16,12,1
"1237","LKC34","6",17,18,1
"1238","LKC34","6",18,NA,0
"1239","LKC34","6",19,10,1
"1240","LKC34","6",20,24,1
"1241","EG4725","6",1,6,1
"1242","EG4725","6",2,12.5,1
"1243","EG4725","6",3,10,1
"1244","EG4725","6",4,6,1
"1245","EG4725","6",5,15,1
"1246","EG4725","6",6,10.5,1
"1247","EG4725","6",7,10,1
"1248","EG4725","6",8,14,1
"1249","EG4725","6",9,19,1
"1250","EG4725","6",10,5,1
"1251","EG4725","6",11,13,1
"1252","EG4725","6",12,15.5,1
"1253","EG4725","6",13,17,1
"1254","EG4725","6",14,5.5,1
"1255","EG4725","6",15,NA,0
"1256","EG4725","6",16,20,1
"1257","EG4725","6",17,10,1
"1258","EG4725","6",18,15,1
"1259","EG4725","6",19,4,1
"1260","EG4725","6",20,13,1
"1261","CB4856","6",1,NA,0
"1262","CB4856","6",2,NA,0
"1263","CB4856","6",3,NA,0
"1264","CB4856","6",4,NA,0
"1265","CB4856","6",5,NA,0
"1266","CB4856","6",6,NA,0
"1267","CB4856","6",7,NA,0
"1268","CB4856","6",8,NA,0
"1269","CB4856","6",9,NA,0
"1270","CB4856","6",10,NA,0
"1271","CB4856","6",11,NA,0
"1272","CB4856","6",12,NA,0
"1273","CB4856","6",13,NA,0
"1274","CB4856","6",14,NA,0
"1275","CB4856","6",15,NA,0
"1276","CB4856","6",16,NA,0
"1277","CB4856","6",17,NA,0
"1278","CB4856","6",18,NA,0
"1279","CB4856","6",19,NA,0
"1280","CB4856","6",20,NA,0
"1281","CX11314","6",1,10.5,1
"1282","CX11314","6",2,5.5,1
"1283","CX11314","6",3,8.5,1
"1284","CX11314","6",4,12.5,1
"1285","CX11314","6",5,5,1
"1286","CX11314","6",6,14,1
"1287","CX11314","6",7,8,1
"1288","CX11314","6",8,6.5,1
"1289","CX11314","6",9,16.5,1
"1290","CX11314","6",10,17,1
"1291","CX11314","6",11,25,1
"1292","CX11314","6",12,13,1
"1293","CX11314","6",13,12.5,1
"1294","CX11314","6",14,17.5,1
"1295","CX11314","6",15,4.5,1
"1296","CX11314","6",16,9,1
"1297","CX11314","6",17,12.5,1
"1298","CX11314","6",18,7.5,1
"1299","CX11314","6",19,19,1
"1300","CX11314","6",20,8,1
"1301","ED3017","6",1,17,1
"1302","ED3017","6",2,15.5,1
"1303","ED3017","6",3,8.5,1
"1304","ED3017","6",4,2.5,1
"1305","ED3017","6",5,12,1
"1306","ED3017","6",6,12,1
"1307","ED3017","6",7,4,1
"1308","ED3017","6",8,16.5,1
"1309","ED3017","6",9,15.5,1
"1310","ED3017","6",10,5.5,1
"1311","ED3017","6",11,13.5,1
"1312","ED3017","6",12,14.5,1
"1313","ED3017","6",13,18,1
"1314","ED3017","6",14,12.5,1
"1315","ED3017","6",15,18.5,1
"1316","ED3017","6",16,14.5,1
"1317","ED3017","6",17,9,1
"1318","ED3017","6",18,4,1
"1319","ED3017","6",19,12.5,1
"1320","ED3017","6",20,17,1
"1321","MY23","6",1,NA,0
"1322","MY23","6",2,9,1
"1323","MY23","6",3,8,1
"1324","MY23","6",4,12.5,1
"1325","MY23","6",5,12,1
"1326","MY23","6",6,15.5,1
"1327","MY23","6",7,5,1
"1328","MY23","6",8,12,1
"1329","MY23","6",9,17,1
"1330","MY23","6",10,21,1
"1331","MY23","6",11,17.5,1
"1332","MY23","6",12,17,1
"1333","MY23","6",13,16.5,1
"1334","MY23","6",14,9.5,1
"1335","MY23","6",15,15,1
"1336","MY23","6",16,17,1
"1337","MY23","6",17,NA,0
"1338","MY23","6",18,8,1
"1339","MY23","6",19,NA,0
"1340","MY23","6",20,4.5,1
"1341","JU775","6",1,NA,0
"1342","JU775","6",2,NA,0
"1343","JU775","6",3,NA,0
"1344","JU775","6",4,NA,0
"1345","JU775","6",5,NA,0
"1346","JU775","6",6,NA,0
"1347","JU775","6",7,NA,0
"1348","JU775","6",8,NA,0
"1349","JU775","6",9,NA,0
"1350","JU775","6",10,NA,0
"1351","JU775","6",11,NA,0
"1352","JU775","6",12,NA,0
"1353","JU775","6",13,NA,0
"1354","JU775","6",14,NA,0
"1355","JU775","6",15,NA,0
"1356","JU775","6",16,NA,0
"1357","JU775","6",17,NA,0
"1358","JU775","6",18,NA,0
"1359","JU775","6",19,NA,0
"1360","JU775","6",20,NA,0
"1361","N2","6",1,16,1
"1362","N2","6",2,15,1
"1363","N2","6",3,15.5,1
"1364","N2","6",4,13,1
"1365","N2","6",5,10,1
"1366","N2","6",6,7.5,1
"1367","N2","6",7,12,1
"1368","N2","6",8,10.5,1
"1369","N2","6",9,9.5,1
"1370","N2","6",10,8.5,1
"1371","N2","6",11,13,1
"1372","N2","6",12,12,1
"1373","N2","6",13,14.5,1
"1374","N2","6",14,13,1
"1375","N2","6",15,15.5,1
"1376","N2","6",16,10,1
"1377","N2","6",17,14,1
"1378","N2","6",18,4,1
"1379","N2","6",19,16,1
"1380","N2","6",20,17,1
"1381","JU258","6",1,15.5,1
"1382","JU258","6",2,5.5,1
"1383","JU258","6",3,3,1
"1384","JU258","6",4,7.5,1
"1385","JU258","6",5,10,1
"1386","JU258","6",6,2,1
"1387","JU258","6",7,4.5,1
"1388","JU258","6",8,20.5,1
"1389","JU258","6",9,9,1
"1390","JU258","6",10,8,1
"1391","JU258","6",11,2.5,1
"1392","JU258","6",12,9.5,1
"1393","JU258","6",13,5,1
"1394","JU258","6",14,14,1
"1395","JU258","6",15,2,1
"1396","JU258","6",16,12.5,1
"1397","JU258","6",17,13,1
"1398","JU258","6",18,20,1
"1399","JU258","6",19,6,1
"1400","JU258","6",20,14.5,1
"1401","MY16","6",1,5,1
"1402","MY16","6",2,3,1
"1403","MY16","6",3,6.5,1
"1404","MY16","6",4,10,1
"1405","MY16","6",5,5,1
"1406","MY16","6",6,24.5,1
"1407","MY16","6",7,3.5,1
"1408","MY16","6",8,5.5,1
"1409","MY16","6",9,18.5,1
"1410","MY16","6",10,6.5,1
"1411","MY16","6",11,5.5,1
"1412","MY16","6",12,7,1
"1413","MY16","6",13,10,1
"1414","MY16","6",14,18.5,1
"1415","MY16","6",15,5,1
"1416","MY16","6",16,6,1
"1417","MY16","6",17,17.5,1
"1418","MY16","6",18,3,1
"1419","MY16","6",19,4,1
"1420","MY16","6",20,18.5,1
"1421","DL238","6",1,19.5,1
"1422","DL238","6",2,13,1
"1423","DL238","6",3,13,1
"1424","DL238","6",4,18,1
"1425","DL238","6",5,18.5,1
"1426","DL238","6",6,NA,0
"1427","DL238","6",7,12.5,1
"1428","DL238","6",8,NA,0
"1429","DL238","6",9,9,1
"1430","DL238","6",10,12.5,1
"1431","DL238","6",11,13,1
"1432","DL238","6",12,22,1
"1433","DL238","6",13,13,1
"1434","DL238","6",14,7.5,1
"1435","DL238","6",15,18,1
"1436","DL238","6",16,12.5,1
"1437","DL238","6",17,NA,0
"1438","DL238","6",18,12,1
"1439","DL238","6",19,7,1
"1440","DL238","6",20,15,1
