rand_ID,strain,bleach_wave,conc embryo/uL,num_of_worms_after_bleach,number_of_worms_estimated_on_6cm_plate,Vol to add for 1000,wormcamp_plate_num,well,notes
128,QG536,3,0.16,480,500,ALL,10,D05,
78,JU778,2,0.3,1050,100,1904.761905,10,D06,
130,N2_5,4,1.16,1082,200,1000,11,A01,
NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11,A02,none
NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11,A03,none
128,QG536,3,0.16,480,500,ALL,11,A04,
80,CB4932,2,0.36,1246,1000,1605.136437,11,A05,
73,MY1,1,1.75,2000,500,1000,11,A06,
114,JU1580,2,0.13,440,1000,ALL,11,B01,
78,JU778,2,0.3,1050,100,1904.761905,11,B02,
81,NIC195,2,0.75,2000,50,1000,11,B03,
83,QX1212,2,1.43,2000,100,1000,11,B04,
38,CX11276,1,1,2000,1000,1000,11,B05,
129,NIC527,3,0.03,114,100,ALL,11,B06,
101,ECA250,3,0.53,1537,250,1301.236174,11,C01,
62,NIC261,1,0.86,2000,100,1000,11,C02,
102,ECA252,3,0.16,533,100,ALL,11,C03,none
91,QW947,2,0.86,2000,250,1000,11,C04,
71,QX1793,3,0.26,780,1000,ALL,11,C05,
94,QX1233,3,0.5,1600,200,1250,11,C06,
10,NIC236,2,0.16,560,few,ALL,11,D01,none
28,CB4854,2,0.36,1296,300,1543.209877,11,D02,
14,NIC1,1,1.875,2000,1000,1000,11,D03,
5,NIC256,1,2.3,2000,1000,1000,11,D04,
7,NIC271,2,0.16,560,few,ALL,11,D05,
45,QG2075,1,0.875,2000,25,1000,11,D06,
130,N2_5,4,1.16,1082,200,1000,12,A01,
NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12,A02,none
NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12,A03,none
14,NIC1,1,1.875,2000,1000,1000,12,A04,
81,NIC195,2,0.75,2000,50,1000,12,A05,
102,ECA252,3,0.16,533,100,ALL,12,A06,none
129,NIC527,3,0.03,114,100,ALL,12,B01,
101,ECA250,3,0.53,1537,250,1301.236174,12,B02,
114,JU1580,2,0.13,440,1000,ALL,12,B03,
45,QG2075,1,0.875,2000,25,1000,12,B04,
28,CB4854,2,0.36,1296,300,1543.209877,12,B05,
94,QX1233,3,0.5,1600,200,1250,12,B06,
5,NIC256,1,2.3,2000,1000,1000,12,C01,
91,QW947,2,0.86,2000,250,1000,12,C02,
7,NIC271,2,0.16,560,few,ALL,12,C03,
10,NIC236,2,0.16,560,few,ALL,12,C04,none
78,JU778,2,0.3,1050,100,1904.761905,12,C05,none
62,NIC261,1,0.86,2000,100,1000,12,C06,
128,QG536,3,0.16,480,500,ALL,12,D01,
80,CB4932,2,0.36,1246,1000,1605.136437,12,D02,
71,QX1793,3,0.26,780,1000,ALL,12,D03,
73,MY1,1,1.75,2000,500,1000,12,D04,
83,QX1212,2,1.43,2000,100,1000,12,D05,
38,CX11276,1,1,2000,1000,1000,12,D06,
N2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13,A01,
NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13,A02,none
NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13,A03,none
8,JU830,1,4,2000,1000,1000,13,A04,
96,NIC276,2,0.26,600,100,ALL,13,A05,
127,NIC269,3,0.13,468,0,ALL,13,A06,
72,JU394,2,0.23,805,120,ALL,13,B01,
126,LSJ1,3,0.13,377,50,ALL,13,B02,
55,JU1530,2,0.3,1050,50,1904.761905,13,B03,
24,NIC166,2,0.4,1200,1000,1666.666667,13,B04,
67,JU782,3,2.8,2000,1000,1000,13,B05,
125,ED3012,3,0.03,75,150,ALL,13,B06,
53,NIC199,1,0.6,1920,200,1041.666667,13,C01,
109,PS2025,3,0.56,1540,150,1298.701299,13,C02,
32,JU2522,2,1.1,2200,1000,909.0909091,13,C03,
29,JU792,2,0.3,840,300,ALL,13,C04,
48,JU1409,1,0.275,890,30,ALL,13,C05,none
99,NIC277,1,2,2000,350,1000,13,C06,
58,JU1246,2,0.75,2000,50,1000,13,D01,
51,JU1568,1,1.225,2000,100,1000,13,D02,
92,JU1581,1,0.425,1230,50,1626.01626,13,D03,
104,CX11264,3,1,2000,300,1000,13,D04,
87,NIC3,1,0.3,960,300,ALL,13,D05,
84,NIC266,2,0.2,700,100,ALL,13,D06,
N2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14,A01,
NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14,A02,none
NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14,A03,none
67,JU782,3,2.8,2000,1000,1000,14,A04,
24,NIC166,2,0.4,1200,1000,1666.666667,14,A05,
53,NIC199,1,0.6,1920,200,1041.666667,14,A06,
51,JU1568,1,1.225,2000,100,1000,14,B01,
8,JU830,1,4,2000,1000,1000,14,B02,
109,PS2025,3,0.56,1540,150,1298.701299,14,B03,
127,NIC269,3,0.13,468,0,ALL,14,B04,
72,JU394,2,0.23,805,120,ALL,14,B05,
125,ED3012,3,0.03,75,150,ALL,14,B06,
87,NIC3,1,0.3,960,300,ALL,14,C01,
96,NIC276,2,0.26,600,100,ALL,14,C02,
126,LSJ1,3,0.13,377,50,ALL,14,C03,
32,JU2522,2,1.1,2200,1000,909.0909091,14,C04,
58,JU1246,2,0.75,2000,50,1000,14,C05,
48,JU1409,1,0.275,890,30,ALL,14,C06,none
29,JU792,2,0.3,840,300,ALL,14,D01,
84,NIC266,2,0.2,700,100,ALL,14,D02,
55,JU1530,2,0.3,1050,50,1904.761905,14,D03,
104,CX11264,3,1,2000,300,1000,14,D04,
99,NIC277,1,2,2000,350,1000,14,D05,
92,JU1581,1,0.425,1230,50,1626.01626,14,D06,
N2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15,A01,
NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15,A02,none
NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15,A03,none
126,LSJ1,3,0.13,377,50,ALL,15,A04,
72,JU394,2,0.23,805,120,ALL,15,A05,
48,JU1409,1,0.275,890,30,ALL,15,A06,none
127,NIC269,3,0.13,468,0,ALL,15,B01,
32,JU2522,2,1.1,2200,1000,909.0909091,15,B02,
24,NIC166,2,0.4,1200,1000,1666.666667,15,B03,
53,NIC199,1,0.6,1920,200,1041.666667,15,B04,
8,JU830,1,4,2000,1000,1000,15,B05,
55,JU1530,2,0.3,1050,50,1904.761905,15,B06,none
67,JU782,3,2.8,2000,1000,1000,15,C01,
104,CX11264,3,1,2000,300,1000,15,C02,
84,NIC266,2,0.2,700,100,ALL,15,C03,
58,JU1246,2,0.75,2000,50,1000,15,C04,
125,ED3012,3,0.03,75,150,ALL,15,C05,
51,JU1568,1,1.225,2000,100,1000,15,C06,
29,JU792,2,0.3,840,300,ALL,15,D01,
96,NIC276,2,0.26,600,100,ALL,15,D02,
99,NIC277,1,2,2000,350,1000,15,D03,
109,PS2025,3,0.56,1540,150,1298.701299,15,D04,
87,NIC3,1,0.3,960,300,ALL,15,D05,
92,JU1581,1,0.425,1230,50,1626.01626,15,D06,
N2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,16,A01,
NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,16,A02,none
NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,16,A03,none
84,NIC266,2,0.2,700,100,ALL,16,A04,
67,JU782,3,2.8,2000,1000,1000,16,A05,
8,JU830,1,4,2000,1000,1000,16,A06,
32,JU2522,2,1.1,2200,1000,909.0909091,16,B01,
127,NIC269,3,0.13,468,0,ALL,16,B02,
48,JU1409,1,0.275,890,30,ALL,16,B03,few
55,JU1530,2,0.3,1050,50,1904.761905,16,B04,none
53,NIC199,1,0.6,1920,200,1041.666667,16,B05,
87,NIC3,1,0.3,960,300,ALL,16,B06,
104,CX11264,3,1,2000,300,1000,16,C01,
109,PS2025,3,0.56,1540,150,1298.701299,16,C02,
29,JU792,2,0.3,840,300,ALL,16,C03,
58,JU1246,2,0.75,2000,50,1000,16,C04,
96,NIC276,2,0.26,600,100,ALL,16,C05,
24,NIC166,2,0.4,1200,1000,1666.666667,16,C06,
126,LSJ1,3,0.13,377,50,ALL,16,D01,
72,JU394,2,0.23,805,120,ALL,16,D02,
125,ED3012,3,0.03,75,150,ALL,16,D03,
92,JU1581,1,0.425,1230,50,1626.01626,16,D04,few
51,JU1568,1,1.225,2000,100,1000,16,D05,
99,NIC277,1,2,2000,350,1000,16,D06,
N2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17,A01,
N2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17,A02,
N2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17,A03,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17,A04,
50,ED3040,1,0.65,2000,50,1000,17,A05,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17,A06,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17,B01,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17,B02,
100,JU1586,2,0.16,533,300,ALL,17,B03,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17,B04,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17,B05,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17,B06,
115,JU367,2,0.16,480,0,ALL,17,C01,none
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17,C02,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17,C03,
63,NIC274,1,0.2,520,100,ALL,17,C04,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17,C05,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17,C06,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17,D01,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17,D02,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17,D03,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17,D04,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17,D05,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17,D06,
N2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18,A01,
N2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18,A02,
N2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18,A03,
115,JU367,2,0.16,480,0,ALL,18,A04,none
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18,A05,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18,A06,
63,NIC274,1,0.2,520,100,ALL,18,B01,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18,B02,
100,JU1586,2,0.16,533,300,ALL,18,B03,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18,B04,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18,B05,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18,B06,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18,C01,
50,ED3040,1,0.65,2000,50,1000,18,C02,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18,C03,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18,C04,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18,C05,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18,C06,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18,D01,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18,D02,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18,D03,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18,D04,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18,D05,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18,D06,
N2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19,A01,
N2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19,A02,
NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19,A03,none
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19,A04,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19,A05,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19,A06,
115,JU367,2,0.16,480,0,ALL,19,B01,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19,B02,
50,ED3040,1,0.65,2000,50,1000,19,B03,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19,B04,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19,B05,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19,B06,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19,C01,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19,C02,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19,C03,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19,C04,
100,JU1586,2,0.16,533,300,ALL,19,C05,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19,C06,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19,D01,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19,D02,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19,D03,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19,D04,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19,D05,
63,NIC274,1,0.2,520,100,ALL,19,D06,
N2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,A01,
NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,A02,none
NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,A03,none
50,ED3040,1,0.65,2000,50,1000,20,A04,
63,NIC274,1,0.2,520,100,ALL,20,A05,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,A06,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,B01,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,B02,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,B03,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,B04,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,B05,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,B06,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,C01,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,C02,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,C03,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,C04,
115,JU367,2,0.16,480,0,ALL,20,C05,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,C06,
100,JU1586,2,0.16,533,300,ALL,20,D01,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,D02,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,D03,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,D04,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,D05,
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,D06,