plateNum,plateName,wellNum,group,T89,T97,TotAct
1,WI_1,1,Censor,10.04,16.04,0.123611746
1,WI_1,4,Censor,nan,nan,-7.41E-06
1,WI_1,8,Censor,7.5,12.5,0.188341821
1,WI_1,9,Censor,7.5,9.5,0.108269982
1,WI_1,11,Censor,5.04,12.04,0.320488397
1,WI_1,13,Censor,9.5,12.5,0.123777438
1,WI_1,15,Censor,4.04,5.04,0.616929154
1,WI_1,16,Censor,29.63,30.63,4.25E-05
1,WI_1,17,Censor,11.04,24.04,0.310378078
1,WI_1,20,Censor,24.04,24.04,0.098214891
1,WI_1,23,Censor,6.03,9.5,0.263490842
1,WI_1,24,Censor,9.5,16.5,0.252335353
1,WI_1,2,EG4724,9.03,11.5,0.351104067
1,WI_1,22,JU1491,8.04,10.5,0.498734891
1,WI_1,12,JU1652,8.5,12.5,0.188967025
1,WI_1,18,JU397,10.5,13.5,0.566580568
1,WI_1,10,JU561,9.03,12.5,0.322822163
1,WI_1,21,JU642,8.04,11.04,0.521488173
1,WI_1,3,NIC258,8.04,10.5,0.449774842
1,WI_1,7,NIC262,8.5,11.04,0.2806493
1,WI_1,19,NIC528,9.03,10.5,0.319324052
1,WI_1,6,QX1792,10.5,14.5,0.240723107
1,WI_1,5,WN2001,9.03,12.04,0.795145107
1,WI_1,14,WN2002,9.03,11.5,0.129473616
2,WI_10,1,censor,9.04,10.51,0.13852578
2,WI_10,2,censor,10.05,14.05,0.345285058
2,WI_10,3,censor,7.05,9.04,0.256047377
2,WI_10,4,censor,27.95,30.49,0.000558343
2,WI_10,6,censor,10.05,24.05,0.155283158
2,WI_10,7,censor,11.51,18.05,0.07063494
2,WI_10,8,censor,7.51,12.51,0.243023352
2,WI_10,10,censor,30.49,30.49,0.003393836
2,WI_10,11,censor,30.49,30.95,0.000174219
2,WI_10,12,censor,10.05,16.05,0.209528259
2,WI_10,13,censor,10.51,29.49,0.005144427
2,WI_10,14,censor,8.51,11.51,0.065655203
2,WI_10,15,censor,7.05,10.05,0.11765474
2,WI_10,16,censor,17.18,18.51,0.006999382
2,WI_10,20,censor,30.49,30.49,0.0005409
2,WI_10,21,censor,10.51,14.05,0.140938767
2,WI_10,22,censor,9.04,14.05,0.385279145
2,WI_10,23,censor,14.05,18.05,0.093091406
2,WI_10,24,censor,7.05,9.04,0.316722749
2,WI_10,17,ECA250,9.04,13.05,0.395066046
2,WI_10,19,JU1580,8.05,10.51,0.315966274
2,WI_10,9,NIC1,11.51,13.05,0.151607071
2,WI_10,5,QG536,9.51,12.51,0.294574019
2,WI_10,18,QW947,7.51,11.05,0.382366985
3,WI_11,1,censor,7.51,9.51,0.016166519
3,WI_11,3,censor,6.51,8.05,0.033402483
3,WI_11,4,censor,8.05,11.05,0.345833362
3,WI_11,5,censor,11.05,14.05,0.159604609
3,WI_11,7,censor,7.51,10.05,0.252021476
3,WI_11,8,censor,7.51,8.51,0.046098478
3,WI_11,9,censor,8.51,13.51,0.262445323
3,WI_11,11,censor,11.05,12.51,0.051436036
3,WI_11,13,censor,6.51,8.51,0.230305777
3,WI_11,14,censor,nan,nan,-3.90E-05
3,WI_11,15,censor,4.51,6.04,0.052092274
3,WI_11,16,censor,3.51,3.51,-5.48E-07
3,WI_11,17,censor,8.51,12.05,0.112174803
3,WI_11,19,censor,7.51,9.51,0.060621142
3,WI_11,20,censor,nan,nan,-0.000171202
3,WI_11,21,censor,13.05,13.05,5.16E-05
3,WI_11,22,censor,6.04,9.51,0.215331354
3,WI_11,23,censor,7.05,10.05,0.480227736
3,WI_11,24,censor ,7.51,11.05,0.272950281
3,WI_11,18,NIC261,11.51,18.05,0.245753053
3,WI_11,12,QG536,10.05,13.05,0.31004995
3,WI_11,10,QW947,7.05,8.51,0.238513251
3,WI_11,2,QX1233,9.51,12.51,0.580763769
3,WI_11,6,QX1793,10.51,14.51,0.716547554
4,WI_12,1,censor,7.05,9.51,0.176439141
4,WI_12,2,censor,9.04,14.05,0.232653746
4,WI_12,3,censor,9.51,17.18,0.263337525
4,WI_12,4,censor,5.51,5.51,0.000690647
4,WI_12,5,censor,7.05,9.04,0.055484908
4,WI_12,6,censor,31.5,32.5,0.000773637
4,WI_12,7,censor,7.05,9.04,0.025667075
4,WI_12,8,censor,6.51,8.05,0.063148219
4,WI_12,10,censor,5.51,8.05,0.001305355
4,WI_12,11,censor,7.51,10.05,0.009560101
4,WI_12,12,censor,6.51,20.51,0.123062637
4,WI_12,14,censor,12.51,15.51,0.109121181
4,WI_12,16,censor,30.96,31.96,0.000189834
4,WI_12,17,censor,9.04,16.05,0.066378993
4,WI_12,18,censor,8.05,10.51,0.256193119
4,WI_12,19,censor,5.51,8.05,0.141885656
4,WI_12,20,censor,30.5,30.5,0.000696319
4,WI_12,21,censor,7.05,9.04,0.315569091
4,WI_12,23,censor,7.05,9.04,0.041450525
4,WI_12,24,censor ,7.51,9.51,0.148546774
4,WI_12,15,JU1580,6.51,8.51,0.246523366
4,WI_12,9,MY1,8.51,11.05,0.466489117
4,WI_12,22,NIC256,7.51,10.05,0.471710085
4,WI_12,13,QX1793,9.04,13.51,0.976432778
5,WI_13,1,censor,9.03,10.5,0.035076522
5,WI_13,3,censor,10.5,21.04,0.013677179
5,WI_13,4,censor,9.03,10.5,0.035178675
5,WI_13,5,censor,9.03,13.5,0.094606555
5,WI_13,6,censor,30.96,32.51,0.001650436
5,WI_13,8,censor,9.03,13.5,0.13790492
5,WI_13,10,censor,8.5,11.04,0.064880668
5,WI_13,12,censor,8.04,11.5,0.366571038
5,WI_13,13,censor,7.5,12.5,0.025589334
5,WI_13,15,censor,6.5,7.5,0.010635083
5,WI_13,16,censor,12.5,30.96,0.000608871
5,WI_13,17,censor,9.03,14.5,0.191608882
5,WI_13,18,censor,9.03,14.04,0.157623089
5,WI_13,19,censor,8.04,27.51,0.013147679
5,WI_13,20,censor,31.96,32.96,0.000874505
5,WI_13,22,censor,8.04,10.04,0.263430896
5,WI_13,23,censor,7.04,9.5,0.128953671
5,WI_13,24,censor ,23.04,23.04,0.002133312
5,WI_13,9,CX11264,11.04,13.04,0.111123164
5,WI_13,21,JU1246,8.04,13.5,0.451852454
5,WI_13,14,JU2522,9.03,12.5,0.308045637
5,WI_13,7,JU792,8.5,12.04,0.305674069
5,WI_13,11,NIC166,8.5,13.04,0.075012588
5,WI_13,2,NIC277,8.04,13.04,0.203952939
6,WI_14,1,censor,11.49,14.49,0.166552523
6,WI_14,2,censor,nan,nan,-0.000141565
6,WI_14,3,censor,7.03,8.03,0.029286925
6,WI_14,7,censor,8.03,11.49,0.079875276
6,WI_14,8,censor,10.49,14.49,0.22354997
6,WI_14,11,censor,9.49,13.03,0.038574158
6,WI_14,13,censor,7.49,8.03,0.010602383
6,WI_14,14,censor,8.03,14.03,0.06208331
6,WI_14,15,censor,12.03,16.49,0.090025824
6,WI_14,16,censor,2.01,2.01,5.57E-06
6,WI_14,17,censor,11.49,13.03,0.172698165
6,WI_14,18,censor,12.03,14.03,0.192805073
6,WI_14,20,censor,0.47,0.47,4.59E-05
6,WI_14,24,censor ,9.49,9.49,9.19E-05
6,WI_14,9,CX11264,12.49,15.03,0.293070146
6,WI_14,6,JU1246,6.02,7.03,0.148283196
6,WI_14,23,JU1568,7.49,10.03,0.294729471
6,WI_14,10,JU2522,10.49,13.49,0.327742636
6,WI_14,12,JU782,8.49,12.49,0.577545729
6,WI_14,21,JU792,9.02,12.49,0.185498795
6,WI_14,19,JU830,7.49,11.49,0.906748622
6,WI_14,4,NIC199,8.49,11.03,0.393356406
6,WI_14,5,NIC277,7.03,11.49,0.190704372
6,WI_14,22,NIC3,6.49,8.49,0.074227461
7,WI_15,1,censor,5.48,6.48,0.001596103
7,WI_15,2,censor,9.01,10.48,0.279872129
7,WI_15,3,censor,nan,nan,-0.00011104
7,WI_15,4,censor,21.02,22.48,0.000703231
7,WI_15,5,censor,9.01,12.02,0.123792786
7,WI_15,6,censor,8.48,9.48,0.030519127
7,WI_15,10,censor,5.48,8.02,0.046863424
7,WI_15,12,censor,8.02,11.02,0.04677326
7,WI_15,14,censor,7.48,9.48,0.035031119
7,WI_15,15,censor,6.48,13.02,0.082133552
7,WI_15,16,censor,30.53,32.99,0.000198615
7,WI_15,17,censor,9.48,14.48,0.100516501
7,WI_15,18,censor,15.02,17.48,0.75869117
7,WI_15,19,censor,8.48,11.48,0.224999175
7,WI_15,20,censor,30.53,32.53,0.000655814
7,WI_15,21,censor,9.48,10.48,0.018749672
7,WI_15,22,censor,6.48,8.48,0.439387787
7,WI_15,23,censor,8.02,9.01,0.051659777
7,WI_15,24,censor ,24.02,30.99,0.001242048
7,WI_15,8,JU394,8.48,10.02,0.185662315
7,WI_15,7,JU830,8.48,11.02,0.841584868
7,WI_15,11,NIC199,9.01,11.02,0.279686564
7,WI_15,13,NIC277,8.48,11.02,0.118628734
7,WI_15,9,PS2025,10.02,13.48,0.227854421
8,WI_16,6,censor,8.47,11.47,0.112461394
8,WI_16,9,censor,10.47,12.01,0.010626575
8,WI_16,10,censor,6.47,9.47,0.129388905
8,WI_16,11,censor,21.01,30,0.000241988
8,WI_16,12,censor,9.47,10.47,0.353610855
8,WI_16,13,censor,8.01,10.47,0.139004001
8,WI_16,14,censor,10.01,11.01,0.015971415
8,WI_16,15,censor,22.47,31.54,0.000275971
8,WI_16,16,censor,27,31.54,0.000126488
8,WI_16,17,censor,14.47,16.01,0.041544188
8,WI_16,18,censor,10.01,13.01,0.193213984
8,WI_16,19,censor,7.47,8.47,0.016151329
8,WI_16,20,censor,22.47,24.47,0.011808894
8,WI_16,21,censor,9.01,12.47,0.197663948
8,WI_16,23,censor,10.47,13.47,0.811103894
8,WI_16,22,censor ,13.01,20.47,0.349657128
8,WI_16,24,censor ,22.47,23.47,1.45344814
8,WI_16,5,JU1568,8.47,10.01,0.245392148
8,WI_16,8,JU782,8.47,11.01,0.35230293
8,WI_16,4,JU830,8.47,10.47,0.93723027
8,WI_16,2,NIC166,10.01,13.01,0.334518509
8,WI_16,7,NIC199,9.01,11.01,0.262898731
8,WI_16,1,NIC277,6.47,10.47,0.199202794
8,WI_16,3,NIC3,10.47,12.01,0.135702288
9,WI_17,1,censor,nan,nan,-0.000152414
9,WI_17,2,censor,24.05,24.05,0.000624171
9,WI_17,3,censor,nan,nan,-1.34E-06
9,WI_17,4,censor,33.12,33.12,0.73740865
9,WI_17,5,censor,31.66,32.66,0.015655944
9,WI_17,6,censor,nan,nan,4.24E-08
9,WI_17,7,censor,24.05,24.05,0.004830615
9,WI_17,8,censor,6.04,7.05,0.027121639
9,WI_17,9,censor,33.12,33.12,0.00018861
9,WI_17,10,censor,9.51,15.05,0.204444677
9,WI_17,11,censor,24.05,24.05,0.015883216
9,WI_17,12,censor,26.61,28.66,0.000386143
9,WI_17,13,censor,30.66,31.12,0.027504601
9,WI_17,14,censor,nan,nan,-0.000128991
9,WI_17,15,censor,8.05,11.05,0.119763848
9,WI_17,17,censor,5.05,5.05,7.32E-05
9,WI_17,18,censor,24.05,24.05,0.001985264
9,WI_17,19,censor,28.66,28.66,0.000286993
9,WI_17,21,censor,23.05,23.05,0.819336917
9,WI_17,22,censor,23.05,23.05,0.144454911
9,WI_17,23,censor,23.05,23.05,0.389310713
9,WI_17,24,censor ,16.05,23.05,0.578707655
9,WI_17,16,N2,7.05,8.51,0.401908483
9,WI_17,20,N2,7.05,8.51,0.577022319
10,WI_18,1,censor,15.05,16.05,0.000716414
10,WI_18,2,censor,2.47,2.47,0.000125144
10,WI_18,3,censor,32.11,32.65,0.000292963
10,WI_18,4,censor,13.05,18.05,0.000621829
10,WI_18,5,censor,2.47,2.47,0.000163555
10,WI_18,6,censor,2.47,2.47,6.70E-05
10,WI_18,7,censor,15.51,15.51,7.79E-05
10,WI_18,8,censor,13.05,18.51,0.000236411
10,WI_18,9,censor,2.47,2.47,2.54E-05
10,WI_18,10,censor,nan,nan,-0.000187607
10,WI_18,11,censor,23.51,26.61,4.46E-05
10,WI_18,12,censor,29.65,31.11,0.002490882
10,WI_18,13,censor,15.51,28.65,0.000449531
10,WI_18,14,censor,28.11,30.65,0.000134175
10,WI_18,15,censor,7.51,12.51,0.100126403
10,WI_18,17,censor,23.05,23.05,0.010561086
10,WI_18,18,censor,8.05,10.05,0.074814258
10,WI_18,19,censor,28.65,29.65,0.00026526
10,WI_18,21,censor,15.51,31.65,0.000978109
10,WI_18,22,censor,23.05,23.05,0.056014442
10,WI_18,23,censor,8.51,13.05,0.390877041
10,WI_18,24,censor ,5.51,6.51,0.388559558
10,WI_18,16,N2,7.05,9.51,0.404174424
10,WI_18,20,N2,7.05,9.51,0.40886531
11,WI_19,1,censor,11.05,14.05,0.447630628
11,WI_19,2,censor,nan,nan,-5.17E-06
11,WI_19,3,censor,nan,nan,1.74E-06
11,WI_19,4,censor,32.14,33.14,0.007263739
11,WI_19,5,censor,33.14,33.14,0.010099901
11,WI_19,6,censor,18.51,23.51,0.676680307
11,WI_19,7,censor,nan,nan,-5.18E-05
11,WI_19,8,censor,nan,nan,-1.49E-05
11,WI_19,9,censor,30.14,32.68,0.000875059
11,WI_19,10,censor,nan,nan,-0.000174517
11,WI_19,11,censor,nan,nan,-7.96E-05
11,WI_19,12,censor,32.68,33.14,0.000845917
11,WI_19,13,censor,33.14,33.14,0.000196469
11,WI_19,14,censor,nan,nan,-0.000208791
11,WI_19,15,censor,30.14,32.14,0.13240392
11,WI_19,16,censor,29.68,30.68,0.000156217
11,WI_19,17,censor,nan,nan,5.12E-06
11,WI_19,18,censor,nan,nan,-9.13E-05
11,WI_19,19,censor,nan,nan,-4.44E-05
11,WI_19,20,censor,7.51,10.05,0.142220252
11,WI_19,21,censor,3.51,3.51,9.70E-05
11,WI_19,22,censor,0.47,0.47,3.09E-05
11,WI_19,23,censor,10.05,12.05,0.08657661
11,WI_19,24,censor ,11.05,14.05,0.383320605
12,WI_2,1,censor,10.49,15.03,0.41338835
12,WI_2,2,censor,4.49,5.49,0.040585234
12,WI_2,3,censor,4.49,5.49,0.120372376
12,WI_2,4,censor,6.49,11.03,0.278879901
12,WI_2,5,censor,7.49,11.49,0.349314617
12,WI_2,6,censor,10.03,12.03,0.280702962
12,WI_2,7,censor,7.49,33.1,0.27737428
12,WI_2,8,censor,6.02,6.49,0.015760384
12,WI_2,9,censor,7.49,12.49,0.2124805
12,WI_2,10,censor,7.49,9.49,0.180628223
12,WI_2,11,censor,6.49,8.49,0.187511459
12,WI_2,12,censor,nan,nan,-0.00372897
12,WI_2,13,censor,9.02,11.03,0.463043268
12,WI_2,14,censor,6.02,7.49,0.292114944
12,WI_2,15,censor,8.49,27.64,0.139321854
12,WI_2,16,censor,nan,nan,-0.011980359
12,WI_2,17,censor,12.03,28.1,0.379491814
12,WI_2,18,censor,nan,nan,-0.00527558
12,WI_2,19,censor,5.03,5.49,0.08409493
12,WI_2,20,censor,nan,nan,-0.007229274
12,WI_2,21,censor,8.49,10.03,1.448294093
12,WI_2,22,censor,6.02,6.49,0.086736832
12,WI_2,23,censor,6.49,7.49,0.178823228
12,WI_2,24,censor,6.02,6.49,0.24369642
13,WI_20,1,censor,nan,nan,-8.87E-05
13,WI_20,2,censor,1.01,1.01,2.11E-06
13,WI_20,3,censor,nan,nan,2.14E-06
13,WI_20,4,censor,nan,nan,-2.64E-05
13,WI_20,5,censor,nan,nan,-2.59E-05
13,WI_20,6,censor,8.47,9.47,0.001174989
13,WI_20,7,censor,13.47,14.01,6.27E-05
13,WI_20,8,censor,4.01,6.47,0.049225458
13,WI_20,9,censor,9.47,9.47,0.000215927
13,WI_20,10,censor,nan,nan,-2.75E-05
13,WI_20,11,censor,nan,nan,-1.79E-06
13,WI_20,12,censor,1.47,2.01,0.005059208
13,WI_20,13,censor,27.09,27.09,0.000201407
13,WI_20,14,censor,nan,nan,1.06E-05
13,WI_20,15,censor,nan,nan,7.07E-06
13,WI_20,16,censor,nan,nan,-8.76E-06
13,WI_20,17,censor,nan,nan,-1.04E-05
13,WI_20,18,censor,nan,nan,-3.17E-05
13,WI_20,19,censor,24.64,24.64,6.57E-05
13,WI_20,20,censor,27.09,27.09,0.000245248
13,WI_20,21,censor,6.47,8.47,0.143135123
13,WI_20,22,censor,nan,nan,-9.34E-05
13,WI_20,23,censor,nan,nan,-1.08E-05
13,WI_20,24,censor ,3,5.47,0.129694247
14,WI_3,1,censor,nan,nan,-8.53E-06
14,WI_3,2,censor,5.48,6.48,0.143541049
14,WI_3,3,censor,5.48,7.02,0.148022
14,WI_3,4,censor,6.02,7.48,0.124753644
14,WI_3,12,censor,4.48,7.02,0.075483358
14,WI_3,16,censor,17.16,20.48,0.000150306
14,WI_3,18,censor,5.48,8.02,0.083931919
14,WI_3,20,censor,17.16,18.02,0.000136567
14,WI_3,22,censor,4.48,6.02,0.234980514
14,WI_3,9,EG4724,6.02,9.48,0.063468885
14,WI_3,10,JU1212,5.48,8.02,0.136628593
14,WI_3,8,JU1491,5.02,7.02,0.139508113
14,WI_3,21,JU2513,4.02,5.02,0.1730481
14,WI_3,5,JU2526,7.02,10.02,0.830743032
14,WI_3,6,JU397,5.02,7.02,0.151619814
14,WI_3,17,JU561,5.02,7.02,0.10808216
14,WI_3,23,JU642,6.02,7.48,0.201922769
14,WI_3,15,N2_4,5.48,7.02,0.124031484
14,WI_3,24,N2_4,6.48,8.48,0.392894344
14,WI_3,11,NIC231,5.02,9.48,0.151010111
14,WI_3,7,NIC529,5.02,7.02,0.017836522
14,WI_3,14,QX1791,6.48,8.48,0.054451269
14,WI_3,19,QX1792,5.48,7.02,0.102188745
14,WI_3,13,WN2002,6.02,8.48,0.114648012
15,WI_4,1,censor,12.47,17.15,0.000935407
15,WI_4,2,censor,6.47,10.01,0.301582955
15,WI_4,3,censor,7.01,10.01,0.211118175
15,WI_4,4,censor,6.47,10.01,0.321740368
15,WI_4,5,censor,7.47,10.01,0.284434213
15,WI_4,6,censor,9.01,11.47,0.188534317
15,WI_4,7,censor,8.47,11.47,0.123287585
15,WI_4,8,censor,7.01,12.01,0.284507004
15,WI_4,12,censor,5.47,8.01,0.189391586
15,WI_4,13,censor,7.01,9.47,0.39451775
15,WI_4,14,censor,7.01,10.01,0.1531049
15,WI_4,15,censor,9.47,13.01,0.061233418
15,WI_4,16,censor,3.01,3.01,6.42E-05
15,WI_4,17,censor,7.47,9.47,0.21026158
15,WI_4,20,censor,14.47,20.01,6.37E-05
15,WI_4,24,censor ,6.47,8.01,0.410217191
15,WI_4,11,JU1491,8.47,11.01,0.243312263
15,WI_4,19,JU2513,10.01,13.47,0.454891354
15,WI_4,23,JU2526,8.01,14.01,1.015281897
15,WI_4,18,NIC231,8.01,10.47,0.312286618
15,WI_4,9,NIC526,9.01,12.01,0.39133206
15,WI_4,22,QX1792,9.01,12.01,0.813324139
15,WI_4,21,WN2001,10.01,11.47,1.251704625
15,WI_4,10,WN2002,7.47,9.47,0.246051764
16,WI_5,2,censor,5.51,7.05,0.078736124
16,WI_5,7,censor,4.05,4.51,0.036934189
16,WI_5,8,censor,3.51,4.51,0.027407907
16,WI_5,9,censor,5.05,6.51,0.061341199
16,WI_5,10,censor,4.51,6.04,0.069330717
16,WI_5,11,censor,5.51,7.05,0.038682056
16,WI_5,12,censor,5.05,6.51,0.014702316
16,WI_5,13,censor,5.05,7.05,0.058028717
16,WI_5,14,censor,5.05,7.05,0.101443899
16,WI_5,15,censor,4.51,5.51,0.078649038
16,WI_5,16,censor,22.05,27.49,0.000191948
16,WI_5,19,censor,4.51,6.04,0.011325232
16,WI_5,20,censor,2.01,3.04,0.000120978
16,WI_5,21,censor,4.51,5.05,0.011009344
16,WI_5,22,censor,5.05,6.04,0.101709722
16,WI_5,23,censor,4.51,6.04,0.068765279
16,WI_5,3,censor ,4.05,5.51,0.078569095
16,WI_5,24,censor ,4.51,5.51,0.176835924
16,WI_5,18,CX11262,5.05,6.51,0.188123334
16,WI_5,17,JU1896,5.05,6.51,0.129906139
16,WI_5,5,JU751,5.51,7.51,0.216591583
16,WI_5,4,NIC251,4.51,5.51,0.152402155
16,WI_5,6,NIC259,5.05,7.05,0.11799132
16,WI_5,1,NIC268,5.51,7.51,0.226292933
17,WI_6,1,censor,6.04,8.05,0.250465654
17,WI_6,2,censor,5.51,10.51,0.181688376
17,WI_6,3,censor,5.05,6.51,0.138592787
17,WI_6,6,censor,6.51,8.51,0.283144991
17,WI_6,9,censor,6.04,7.05,0.151545884
17,WI_6,10,censor,10.05,13.51,0.076998796
17,WI_6,11,censor,5.05,5.05,0.066958686
17,WI_6,13,censor,6.04,8.51,0.111294337
17,WI_6,15,censor,6.04,9.04,0.139221567
17,WI_6,16,censor,30.49,31.49,5.79E-05
17,WI_6,17,censor,17.19,20.51,0.0482077
17,WI_6,20,censor,32.49,32.49,3.52E-05
17,WI_6,21,censor,6.04,7.51,0.025170264
17,WI_6,22,censor,8.05,13.05,0.109339772
17,WI_6,23,censor,7.05,10.05,0.122877347
17,WI_6,5,censor ,5.05,6.04,0.373195319
17,WI_6,8,CX11262,6.04,8.05,0.213779161
17,WI_6,7,EG4347,6.51,9.51,0.104699809
17,WI_6,12,JU1896,7.05,12.05,0.133989734
17,WI_6,14,JU751,6.51,8.51,0.246617902
17,WI_6,4,N2_2,7.05,9.51,0.192391551
17,WI_6,24,N2_3,5.51,6.51,0.29866641
17,WI_6,19,NIC267,6.04,10.05,0.328673877
17,WI_6,18,QX1794,6.04,7.51,0.25254712
18,WI_7,22, censor,4.51,6.04,0.190729912
18,WI_7,2,Censor,5.51,21.05,0.046932046
18,WI_7,6,censor,5.51,6.04,0.014495459
18,WI_7,8,censor,5.05,6.51,0.129507314
18,WI_7,11,censor,5.05,6.51,0.208090022
18,WI_7,12,censor,3.51,5.51,0.095388727
18,WI_7,16,censor,30.49,30.95,5.05E-05
18,WI_7,17,censor,5.51,6.51,0.216232699
18,WI_7,19,censor,5.05,6.04,0.134923569
18,WI_7,20,censor,30.49,30.49,0.000428595
18,WI_7,21,censor,3.51,5.51,0.103955466
18,WI_7,23,censor,5.51,7.05,0.202046807
18,WI_7,24,censor ,4.51,6.04,0.150531647
18,WI_7,4,CX11292,4.05,5.05,0.035421496
18,WI_7,7,ED3011,5.05,6.51,0.174515248
18,WI_7,9,ED3046,5.05,7.51,0.121873758
18,WI_7,18,ED3077,5.05,6.51,0.11097648
18,WI_7,3,JU1896,5.05,6.51,0.233121678
18,WI_7,13,JU751,7.05,9.51,0.259279007
18,WI_7,10,N2_2,9.04,11.51,0.117898817
18,WI_7,15,NIC251,4.51,6.04,0.300424051
18,WI_7,5,NIC259,5.51,7.51,0.430616361
18,WI_7,1,NIC267,5.51,7.05,0.300588437
18,WI_7,14,QX1794,5.05,6.51,0.119542374
19,WI_8,1,censor,16.51,16.51,0.041715686
19,WI_8,11,censor,6.51,8.05,0.025993136
19,WI_8,14,censor,7.51,10.05,0.162132531
19,WI_8,15,censor,7.51,16.51,0.045895877
19,WI_8,16,censor,23.05,24.51,0.007347811
19,WI_8,17,censor,19.05,23.05,0.081182845
19,WI_8,20,censor,23.05,24.51,0.003004343
19,WI_8,21,censor,11.05,16.05,0.375134467
19,WI_8,22,censor,7.05,23.05,0.207713949
19,WI_8,23,censor,5.05,7.05,0.422077775
19,WI_8,24,censor ,23.05,24.51,0.952565539
19,WI_8,9,CX11262,7.05,9.04,0.421001016
19,WI_8,7,CX11315,11.51,14.51,1.1789911
19,WI_8,18,ED3011,7.05,10.05,0.53188687
19,WI_8,10,EG4347,6.51,8.51,0.227885649
19,WI_8,6,EG4946,9.51,16.51,0.262612472
19,WI_8,5,JU323,6.51,9.51,0.131519437
19,WI_8,3,JU751,7.51,10.05,0.620229089
19,WI_8,19,N2_2,5.51,6.51,0.493898091
19,WI_8,13,NIC259,6.51,9.51,0.718857872
19,WI_8,8,NIC267,9.51,19.51,0.276346587
19,WI_8,2,PB303,5.51,8.05,0.189619286
19,WI_8,12,QX1794,7.51,9.04,0.431825444
19,WI_8,4,RC301,5.51,8.51,0.308473426
20,WI_9,2,Censor,7.51,12.51,0.109660969
20,WI_9,3,Censor,7.51,13.51,0.181989734
20,WI_9,6,Censor,16.51,32.95,0.000639559
20,WI_9,7,Censor,6.04,9.04,0.11297191
20,WI_9,8,Censor,7.51,10.05,0.04106158
20,WI_9,9,Censor,4.51,5.51,0.036569251
20,WI_9,11,Censor,8.51,15.05,0.078995629
20,WI_9,12,Censor,5.05,5.51,0.004322321
20,WI_9,15,Censor,4.51,7.05,0.124518169
20,WI_9,16,Censor,30.49,30.49,0.000352045
20,WI_9,18,Censor,6.04,8.51,0.106440394
20,WI_9,19,Censor,7.51,30.95,0.011799831
20,WI_9,20,Censor,27.49,30.49,0.002314892
20,WI_9,22,Censor,6.51,9.04,0.062356043
20,WI_9,23,Censor,13.05,13.05,0.000109005
20,WI_9,24,Censor,4.05,6.04,0.217998326
20,WI_9,1,ECA250,5.51,7.51,0.134195256
20,WI_9,13,MY1,6.04,10.05,0.434389974
20,WI_9,17,NIC1,6.04,13.51,0.234797303
20,WI_9,14,NIC261,7.05,9.51,0.22674135
20,WI_9,5,QG2075,11.05,17.19,0.289694321
20,WI_9,4,QW947,6.51,10.05,0.187417348
20,WI_9,10,QX1233,7.51,12.05,0.230590301
20,WI_9,21,QX1793,9.51,12.51,0.839011825