day,num_of_events,type_of_event,source,strain,notes
1,1,cen,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
1,1,otw,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
1,1,dis,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
1,0,,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
2,1,otw,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
2,1,,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
3,1,otw,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
3,2,,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
4,2,cen,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
4,1,otw,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
4,3,dis,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
4,1,,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
5,1,otw,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
5,1,kil,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
5,1,dis,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
5,0,,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
6,1,cen,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
6,2,,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
7,1,otw,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
7,4,,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
8,1,dis,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
8,11,,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
9,1,otw,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
9,10,,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
10,1,otw,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
10,9,,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
11,14,,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
12,19,,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
13,1,dis,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
13,20,,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
14,27,,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
15,44,,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
16,1,dis,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
16,41,,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
17,65,,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
18,14,dis,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
18,58,,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
19,1,dis,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
19,66,,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
20,51,,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
21,21,cen,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
21,29,,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
22,16,,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
23,9,,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
24,7,,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
25,3,,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"
26,1,,Zhoa2017,N2,"20C, 6cm plates, OP50, day1 = first day of adulthood"